*Tele EF EB theta(degree) phi(degree)
   0  0  0       25.5678     185.057
   0  0  1       25.5422     184.261
   0  0  2       25.5209     183.462
   0  0  3       25.5039     182.662
   0  0  4       25.4913     181.860
   0  0  5       25.4831     181.056
   0  0  6       25.4792     180.252
   0  0  7       25.4797     179.447
   0  0  8       25.4846     178.641
   0  0  9       25.4939     177.836
   0  0 10       25.5076     177.030
   0  0 11       25.5257     176.226
   0  0 12       25.5482     175.422
   0  0 13       25.5751     174.619
   0  0 14       25.6064     173.818
   0  0 15       25.6421     173.019
   0  0 16       25.6820     172.221
   0  0 17       25.7264     171.426
   0  0 18       25.7750     170.634
   0  0 19       25.8278     169.845
   0  0 20       25.8849     169.059
   0  0 21       25.9462     168.277
   0  0 22       26.0117     167.499
   0  0 23       26.0812     166.724
   0  0 24       26.1549     165.954
   0  0 25       26.2326     165.189
   0  0 26       26.3142     164.428
   0  0 27       26.3998     163.673
   0  0 28       26.4893     162.922
   0  0 29       26.5825     162.177
   0  0 30       26.6795     161.438
   0  0 31       26.7803     160.704
   0  1  0       25.9112     185.002
   0  1  1       25.8861     184.215
   0  1  2       25.8652     183.426
   0  1  3       25.8486     182.635
   0  1  4       25.8363     181.842
   0  1  5       25.8282     181.048
   0  1  6       25.8245     180.253
   0  1  7       25.8251     179.458
   0  1  8       25.8300     178.662
   0  1  9       25.8393     177.866
   0  1 10       25.8529     177.070
   0  1 11       25.8709     176.275
   0  1 12       25.8932     175.480
   0  1 13       25.9198     174.687
   0  1 14       25.9507     173.895
   0  1 15       25.9860     173.105
   0  1 16       26.0255     172.317
   0  1 17       26.0693     171.531
   0  1 18       26.1173     170.748
   0  1 19       26.1695     169.968
   0  1 20       26.2259     169.191
   0  1 21       26.2865     168.417
   0  1 22       26.3511     167.648
   0  1 23       26.4199     166.882
   0  1 24       26.4926     166.120
   0  1 25       26.5693     165.362
   0  1 26       26.6500     164.610
   0  1 27       26.7345     163.862
   0  1 28       26.8229     163.119
   0  1 29       26.9150     162.381
   0  1 30       27.0109     161.649
   0  1 31       27.1104     160.923
   0  2  0       26.2551     184.947
   0  2  1       26.2305     184.170
   0  2  2       26.2100     183.390
   0  2  3       26.1937     182.608
   0  2  4       26.1816     181.824
   0  2  5       26.1738     181.040
   0  2  6       26.1702     180.254
   0  2  7       26.1709     179.468
   0  2  8       26.1759     178.681
   0  2  9       26.1851     177.895
   0  2 10       26.1986     177.108
   0  2 11       26.2164     176.322
   0  2 12       26.2385     175.537
   0  2 13       26.2649     174.753
   0  2 14       26.2955     173.970
   0  2 15       26.3303     173.190
   0  2 16       26.3694     172.411
   0  2 17       26.4127     171.634
   0  2 18       26.4601     170.860
   0  2 19       26.5117     170.088
   0  2 20       26.5675     169.320
   0  2 21       26.6273     168.555
   0  2 22       26.6912     167.793
   0  2 23       26.7590     167.035
   0  2 24       26.8309     166.282
   0  2 25       26.9067     165.532
   0  2 26       26.9864     164.787
   0  2 27       27.0699     164.047
   0  2 28       27.1572     163.311
   0  2 29       27.2482     162.581
   0  2 30       27.3429     161.856
   0  2 31       27.4412     161.136
   0  3  0       26.5994     184.894
   0  3  1       26.5752     184.125
   0  3  2       26.5551     183.354
   0  3  3       26.5391     182.582
   0  3  4       26.5273     181.807
   0  3  5       26.5197     181.032
   0  3  6       26.5163     180.255
   0  3  7       26.5171     179.478
   0  3  8       26.5221     178.701
   0  3  9       26.5313     177.923
   0  3 10       26.5447     177.146
   0  3 11       26.5624     176.369
   0  3 12       26.5843     175.593
   0  3 13       26.6104     174.818
   0  3 14       26.6406     174.044
   0  3 15       26.6751     173.272
   0  3 16       26.7137     172.502
   0  3 17       26.7565     171.734
   0  3 18       26.8034     170.968
   0  3 19       26.8544     170.205
   0  3 20       26.9095     169.445
