multiplicity	bhat	bhat_err	b	b_err
5	1	0.0209042	7.164285802	0.198657025
6	0.898785177	0.0195761	6.439153882	0.182842049
7	0.788389518	0.0174681	5.648247829	0.16201902
8	0.675080329	0.0165476	4.836468413	0.147709656
9	0.562859252	0.0162992	4.032484551	0.137959206
10	0.453529666	0.0109032	3.249216144	0.098008929
11	0.347253025	0.0105146	2.487819917	0.087913387
12	0.254827295	0.00922592	1.82565557	0.073993655
13	0.17228947	0.0109397	1.234331001	0.081537335
14	0.116445732	0.00915011	0.834250505	0.067292804
15	0.071078312	0.0099497	0.509225338	0.071883651
16	0.032127558	0.0131582	0.230171009	0.094362322
