multiplicity	bhat	bhat_err	b	b_err
5	1	0.020336	8.720052329	0.22977583
6	0.938534989	0.0190143	8.184074221	0.215170181
7	0.872702164	0.0175102	7.61000854	0.198934776
8	0.808100123	0.0149085	7.04667536	0.175622556
9	0.740103488	0.0140772	6.453741144	0.163595274
10	0.662293249	0.0123245	5.775231791	0.144620018
11	0.576148864	0.0144044	5.024048247	0.151209939
12	0.492978446	0.0107833	4.298797845	0.118450914
13	0.407560318	0.00926401	3.5539473	0.100360829
14	0.325143628	0.00862885	2.835269447	0.08898775
15	0.246653228	0.00716772	2.150829057	0.07214942
16	0.181435726	0.00653347	1.582129028	0.062838461
17	0.127384865	0.00636532	1.110802691	0.058543681
18	0.08506645	0.0073941	0.741783896	0.065664111
19	0.056696923	0.00635044	0.494400134	0.055992434
20	0.027812088	0.00943065	0.242522864	0.082336113
21	0.019450694	0.015116	0.169611066	0.131842948
22	0.016057317	0.0109543	0.140020641	0.09555088
