bar,run_start,run_stop,nonlinear_fast_threshold,linear_fit_params[0],linear_fit_params[1],quadratic_fit_params[0],quadratic_fit_params[1],quadratic_fit_params[2],stationary_point_x,stationary_point_y
1,2001,2232,3234.6977,-48.867811,1.0829543,-7433.6958,5.6489624,-0.0007057859,4001.8952,3869.5819
1,2233,2281,3221.2518,-45.375874,1.0801699,-6956.9653,5.3714143,-0.00066608335,4032.0887,3872.0442
1,2282,2319,3202.6074,-23.304076,1.0789512,-6737.9501,5.2721883,-0.00065465988,4026.6621,3876.7104
1,2320,2382,3210.797,-18.531039,1.0752076,-6787.6724,5.2916943,-0.00065661061,4029.5529,3873.9087
1,2383,2514,3239.4715,-23.336928,1.0765659,-7670.2227,5.7976358,-0.00072867904,3978.1821,3861.8028
1,2515,2565,3186.3862,-20.784233,1.0783325,-6415.799,5.0922934,-0.000629861,4042.3945,3876.7304
1,2566,2633,3241.3858,-51.442997,1.0813292,-7456.3212,5.6502875,-0.00070478472,4008.5202,3868.3247
1,2634,2723,3228.7752,-56.088569,1.0834335,-7237.1685,5.5316094,-0.00068883332,4015.2017,3868.0952
1,2724,3500,3225.0641,-48.282921,1.0808362,-7111.3951,5.4609738,-0.0006790776,4020.8761,3867.5543
1,3501,4132,3256.502,-44.679526,1.0728436,-7553.1445,5.6842119,-0.00070802478,4014.1334,3855.4479
1,4133,4224,3289.2431,-47.9874,1.0700235,-8273.5207,6.0714983,-0.00076027745,3992.9491,3848.0709
1,4225,4295,3278.8379,-52.306825,1.0712687,-7909.7239,5.8640748,-0.00073086964,4011.7105,3852.7613
1,4296,4332,3293.3326,-51.853935,1.071015,-8428.7483,6.1581989,-0.0007723459,3986.6846,3846.65
1,4333,4376,3205.1743,-24.349444,1.0712812,-6478.446,5.0985796,-0.00062824952,4057.7664,3865.9764
1,4377,4509,3232.1003,-24.423353,1.0688091,-6984.4564,5.3756266,-0.00066625678,4034.2003,3858.7209
1,4510,4532,3219.1375,-27.662039,1.0728103,-6712.5931,5.226054,-0.00064508641,4050.662,3871.8959
1,4533,4579,3239.2018,-28.990868,1.0714218,-7346.7293,5.5896573,-0.00069743038,4007.3228,3853.0513
1,4580,4612,3202.1508,-27.278581,1.0701085,-6297.4513,4.9863343,-0.00061149928,4077.1383,3867.5359
1,4613,5000,3253.7212,-24.8481,1.0695808,-7594.9021,5.7227477,-0.00071505311,4001.6242,3855.2408
2,2001,2282,3057.7587,-58.281134,1.1488287,-7879.667,6.2645926,-0.00083652184,3744.4286,3848.9928
2,2283,2312,3074.0822,-26.920106,1.1409209,-8579.5571,6.7052724,-0.00090504272,3704.3955,3839.9334
2,2313,2340,3055.4317,-19.485355,1.1376539,-7912.895,6.3044587,-0.00084551141,3728.1926,3839.223
2,2341,2486,3084.0042,-16.91091,1.1359094,-8813.7827,6.8407472,-0.0009249076,3698.0706,3835.0004
2,2487,2514,3095.1092,-24.129484,1.1383479,-9150.0721,7.0353564,-0.00095263335,3692.5835,3839.2485
2,2515,2565,3062.1303,-15.63043,1.1383314,-8139.3986,6.4442898,-0.0008663835,3719.0746,3843.9988
2,2566,2633,3080.4248,-60.928654,1.1454511,-8243.0492,6.4577837,-0.00086227273,3744.6295,3847.9544
2,2634,3500,3066.0506,-60.836618,1.1482993,-8181.7958,6.4456412,-0.00086387059,3730.6752,3841.5011
2,3501,4050,2997.304,-49.097156,1.1661797,-8237.4169,6.6299698,-0.00091145078,3637.0421,3819.3228
2,4051,4095,3046.8547,-55.106231,1.156834,-8653.3415,6.8008415,-0.00092620228,3671.3586,3830.8225
2,4096,4196,3070.6264,-53.114273,1.151119,-8948.9038,6.9452394,-0.00094347531,3680.6683,3832.6576
2,4197,4227,3234.5696,-55.364978,1.0952971,-9139.0446,6.7119205,-0.00086821806,3865.3426,3832.8915
2,4228,4248,3149.6662,-63.322509,1.1256727,-9067.0812,6.8429508,-0.00090760064,3769.8028,3831.2062
2,4249,4332,3127.0124,-63.730192,1.1348191,-9280.3921,7.0296866,-0.00094257181,3728.9926,3826.4326
2,4333,4390,3072.6873,-24.120118,1.1355397,-8494.8463,6.6491018,-0.00089718893,3705.5193,3824.3412
2,4391,4448,3047.7959,-27.615501,1.1372388,-7547.6704,6.0719885,-0.00080956037,3750.1764,3837.8436
2,4449,4531,3064.1566,-26.64489,1.1373156,-8138.1428,6.4317564,-0.00086393119,3722.3777,3832.5708
2,4532,4642,3083.9552,-28.919006,1.1380728,-8943.4866,6.9193289,-0.00093731194,3691.0491,3826.3049
2,4643,5000,3063.1815,-29.502159,1.1392002,-8150.345,6.4414278,-0.00086547723,3721.3156,3834.948
3,2001,2237,3170.7634,-53.64436,1.0714912,-5813.6837,4.7047105,-0.00057292501,4105.8693,3844.7796
3,2238,2281,3165.1558,-52.084578,1.0697079,-5635.6382,4.5978461,-0.00055734037,4124.8098,3846.9823
3,2282,2312,3149.6676,-35.266528,1.0686951,-5463.3458,4.5154584,-0.00054716302,4126.2459,3852.6001
3,2313,2353,3181.0358,-24.404392,1.0624549,-5888.3691,4.749282,-0.00057950104,4097.7338,3842.2777
3,2354,2486,3149.612,-26.908867,1.0645532,-5430.3403,4.495726,-0.00054469769,4126.8084,3846.1595
3,2487,2512,3168.7404,-34.394099,1.0664849,-5743.0962,4.6696214,-0.00056854396,4106.6494,3845.1527
3,2513,2565,3163.7293,-24.145231,1.0644827,-5622.2391,4.6034036,-0.00055929579,4115.357,3850.0855
3,2566,2643,3181.7572,-57.255882,1.0701627,-5893.7634,4.7388949,-0.00057652612,4109.8701,3844.3579
3,2644,2721,3161.9106,-58.571266,1.0717033,-5635.9875,4.5995806,-0.00055787113,4122.4401,3844.7602
3,2722,3500,3156.9471,-53.673209,1.0700006,-5559.7372,4.5582213,-0.0005524674,4125.3305,3842.3475
3,3501,4077,3124.1316,-50.459788,1.0763215,-5508.8096,4.5706364,-0.0005592458,4086.4289,3829.9809
3,4078,4196,3135.7432,-48.550584,1.0737786,-5535.0244,4.5730918,-0.0005579719,4097.9589,3835.1468
3,4197,4224,3168.7387,-51.834259,1.0654983,-5692.541,4.6257204,-0.00056177274,4117.0745,3829.6766
3,4225,4332,3161.1918,-56.101953,1.0674901,-5607.6211,4.5797851,-0.00055553336,4121.9713,3831.2503
3,4333,4414,3175.6913,-25.488533,1.0613513,-5870.2262,4.7422744,-0.00057954676,4091.3648,3830.9612
3,4415,4469,3149.2618,-27.713579,1.061995,-5422.5484,4.4880898,-0.00054395204,4125.4463,3835.1382
3,4470,4509,3165.9191,-28.263038,1.0616933,-5664.9042,4.6225178,-0.0005623682,4109.8677,3834.0639
3,4510,4584,3147.0437,-34.058811,1.065621,-5513.4223,4.54785,-0.000553254,4110.0923,3832.6193
3,4585,5000,3159.1905,-32.736695,1.0644785,-5626.0036,4.6054279,-0.00056042039,4108.9047,3835.6287
4,2001,2232,3092.3113,-57.479703,1.1416268,-7777.7551,6.134834,-0.00080735844,3799.3249,3876.3586
4,2233,2282,3068.4931,-54.897045,1.1407484,-6919.9244,5.6152752,-0.0007291082,3850.7832,3891.6795
4,2283,2485,3109.8609,-15.57323,1.1309926,-8413.1772,6.5316226,-0.00086830732,3761.1238,3869.9433
4,2486,2517,3125.5823,-19.756933,1.1322947,-9241.0083,7.0327961,-0.00094390434,3725.3754,3858.8945
4,2518,2565,3085.7322,-11.806357,1.131299,-7487.3426,5.9765258,-0.00078510165,3806.2115,3886.618
4,2566,3500,3093.2224,-58.831668,1.1412295,-7841.454,6.1732779,-0.00081339907,3794.7412,3871.542
4,3501,4196,3100.763,-56.285901,1.1395999,-8284.1164,6.4465714,-0.00085575253,3766.6096,3856.7426
4,4197,4229,3124.7829,-59.726723,1.1369897,-8972.0981,6.8413037,-0.00091275367,3747.6177,3847.1975
4,4230,4332,3129.4054,-64.028171,1.1385783,-9307.9727,7.0463744,-0.0009439167,3732.5192,3842.3911
4,4333,4471,3091.3897,-14.786849,1.1304276,-8089.3495,6.3543323,-0.00084491201,3760.3515,3857.9118
4,4472,4511,3121.2898,-15.483352,1.1292333,-9280.9874,7.0662047,-0.00095104458,3714.9703,3844.3829
4,4512,5000,3107.5991,-19.212642,1.131005,-8733.2646,6.7392265,-0.00090233994,3734.3058,3849.9018
5,2001,2259,3311.2626,-40.216112,1.0708004,-9661.727,6.8821855,-0.00087751802,3921.3927,3832.1489
5,2260,2281,3287.2253,-43.593728,1.0756524,-9138.8708,6.6093632,-0.00084169937,3926.2018,3835.9762
5,2282,2319,3243.5394,-10.10411,1.0707948,-7973.0049,5.9808019,-0.00075689031,3950.904,3841.7823
5,2320,2368,3198.4779,-12.221605,1.0726391,-6854.0617,5.3508241,-0.00066878451,4000.4097,3848.6824
5,2369,2510,3237.7199,-12.404582,1.0713865,-7846.2062,5.910472,-0.00074729836,3954.5597,3840.4511
5,2511,2565,3196.4583,-12.250746,1.0739043,-6982.2159,5.4349592,-0.00068216984,3983.5821,3843.0873
5,2566,2633,3318.6479,-46.852615,1.072337,-9936.2191,7.0322138,-0.00089793749,3915.7591,3832.0086
5,2634,2711,3328.2064,-48.76203,1.0716242,-10261.143,7.208492,-0.00092194819,3909.3802,3829.2246
5,2712,3500,3298.0505,-42.627132,1.0714229,-9247.8863,6.6536656,-0.00084629429,3931.059,3830.0897
5,3501,4074,3289.0026,-47.270156,1.0761583,-9505.7855,6.8277594,-0.00087436859,3904.3942,3823.3468
5,4075,4196,3306.5776,-50.508496,1.0727373,-9693.0275,6.9050631,-0.00088192787,3914.755,3822.7878
5,4197,4333,3351.1403,-53.180918,1.064863,-10626.102,7.374907,-0.00094147714,3916.6681,3816.4293
5,4334,4376,3205.2748,-20.65485,1.0704979,-6974.266,5.4093529,-0.00067683043,3996.0917,3833.8689
5,4377,4541,3223.486,-21.387263,1.0691278,-7334.4666,5.6065009,-0.00070379909,3983.0265,3830.9543
5,4542,5000,3236.5588,-20.246401,1.0674879,-7630.334,5.7700673,-0.00072647829,3971.2593,3826.8828
6,2001,2237,3118.79,-62.521962,1.1406626,-8597.3766,6.6138459,-0.00087745299,3768.775,3865.672
6,2238,2281,3105.0042,-62.922778,1.1415044,-8171.3013,6.3642855,-0.00084102642,3783.6418,3868.787
6,2282,2488,3118.4838,-24.169003,1.1334261,-8866.1781,6.8041363,-0.00090920951,3741.7868,3863.6357
6,2489,2514,3133.2583,-25.412083,1.1337239,-9553.6039,7.2156942,-0.00097055043,3717.3206,3857.9205
6,2515,2565,3097.8437,-20.837299,1.1342495,-8256.8337,6.4514942,-0.00085821709,3758.661,3867.6563
6,2566,2829,3122.6645,-69.144983,1.1430739,-8835.0691,6.7574612,-0.00089897382,3758.4305,3863.6549
6,2830,3500,3096.8705,-67.815592,1.1436952,-8074.7989,6.3147111,-0.00083487763,3781.8184,3865.7463
6,3501,4196,3115.7365,-69.801261,1.1427405,-8824.6501,6.7625026,-0.00090183527,3749.3004,3852.6765
6,4197,4277,3148.0842,-72.946774,1.1375237,-9471.2828,7.1083525,-0.00094832738,3747.8368,3849.1899
6,4278,4332,3156.0516,-72.991792,1.1373318,-9900.5217,7.3650689,-0.00098663422,3732.4212,3844.2477
6,4333,4353,3112.8206,-28.801662,1.1341026,-8976.5832,6.883089,-0.00092343684,3726.8867,3849.6632
6,4354,4380,3089.6678,-29.085034,1.1337737,-8035.1293,6.3162365,-0.00083867638,3765.5982,3857.0751
6,4381,4544,3114.3855,-30.047491,1.1321763,-8722.2002,6.714114,-0.00089615395,3746.0717,3853.5761
6,4545,4594,3128.1937,-31.710204,1.1316761,-9264.543,7.0346563,-0.00094351256,3727.9081,3847.7331
6,4595,5000,3122.9423,-28.802722,1.1310329,-8959.7252,6.8505894,-0.00091573203,3740.499,3852.5862
7,2001,2281,3160.5072,-49.701115,1.0772098,-5620.2422,4.602303,-0.00055767839,4126.3057,3875.0121
