bar,run_start,run_stop,nonlinear_fast_threshold,linear_fit_params[0],linear_fit_params[1],quadratic_fit_params[0],quadratic_fit_params[1],quadratic_fit_params[2],stationary_point_x,stationary_point_y
1,2001,2279,2977.759,-16.044092,1.1481868,-6322.9796,5.3823918,-0.00071067058,3789.7324,3868.2435
1,2280,2308,2964.9716,-3.0256603,1.1608627,-7394.9965,6.1345237,-0.00083727507,3668.0627,3854.0766
1,2309,2565,2952.5464,-7.2056846,1.1604326,-7039.5648,5.9112133,-0.00080256405,3699.7117,3897.1456
1,2566,2720,2983.7349,-21.977533,1.1488063,-6420.8398,5.4369604,-0.0007185266,3784.6121,3865.8004
1,2721,3500,2988.7718,-18.433832,1.147409,-6658.847,5.5904491,-0.00074317292,3761.9198,3855.1589
1,3501,4196,3010.0656,-23.254019,1.1384991,-6616.0252,5.5286678,-0.000730525,3787.8395,3853.6789
1,4197,4269,2854.0181,-26.645429,1.2047001,-6948.9247,6.0511827,-0.00084824026,3571.2328,3846.1092
1,4270,4339,2878.6596,-27.526877,1.2003774,-7223.907,6.2063816,-0.0008705643,3567.7585,3841.727
1,4340,4413,3157.26,-13.124668,1.2243062,-76032.439,47.504829,-0.0078754894,3403.6679,4023.4228
1,4414,4509,3061.686,-18.731937,1.2121435,-48962.209,30.897528,-0.0059498633,3456.8074,3957.3806
1,4510,4566,2845.8984,-17.447069,1.200256,-6829.789,5.987806,-0.00084067531,3563.2229,3836.0008
1,4567,4622,2927.6335,-21.756165,1.1958154,-10645.665,8.1484141,-0.0011443655,3584.3542,3903.8424
1,4623,5000,2878.065,-19.643328,1.1935119,-7201.6204,6.1755536,-0.00086428553,3577.8682,3842.2462
2,2001,2282,2826.6645,-36.521951,1.236306,-7148.6702,6.2637897,-0.0008885578,3523.6235,3891.0835
2,2283,2565,3053.0368,-23.717618,1.2451631,-59976.826,38.22792,-0.0068048559,3407.683,4023.0687
2,2566,2608,2833.0577,-48.982679,1.2355236,-6998.1559,6.1411571,-0.00086579058,3546.8236,3891.9779
2,2609,3500,2824.9082,-50.431213,1.2378435,-7108.5336,6.2347086,-0.00088431875,3524.9283,3880.907
2,3501,4076,2758.9478,-51.560812,1.2587609,-6508.2479,5.9785893,-0.00086200853,3479.4605,3888.623
2,4077,4132,2782.6905,-53.112922,1.2551458,-7104.8622,6.3250509,-0.00091142047,3470.821,3870.2836
2,4133,4218,2793.1284,-57.349908,1.2497043,-6911.068,6.1566983,-0.00087840481,3506.3742,3877.731
2,4219,4333,2795.121,-62.691266,1.2521133,-7236.5939,6.384909,-0.0009181167,3478.7559,3865.055
2,4334,5000,3062.4806,-36.096073,1.2610106,-65866.254,42.186661,-0.0073622483,3349.6385,4027.3099
3,2001,2232,2902.4181,-33.345748,1.1839142,-6428.872,5.5922834,-0.00075949696,3682.2518,3865.5042
3,2233,2281,2867.8898,-36.458993,1.1870729,-5739.7932,5.1607809,-0.00069256533,3727.365,3877.8441
3,2282,2358,2803.1578,-17.879654,1.1987255,-5312.0547,4.9723218,-0.00067273685,3699.4267,3906.516
3,2359,2385,2856.185,-12.331343,1.1956287,-6504.4572,5.7389643,-0.00079520269,3616.3805,3896.5399
3,2386,2565,2817.6322,-12.020027,1.1954232,-5572.3471,5.133111,-0.00069762107,3686.2771,3907.1432
3,2566,2633,2891.3565,-45.08588,1.1869696,-6120.3446,5.388725,-0.00072654287,3709.0667,3871.9317
3,2634,2711,2913.1087,-50.17932,1.1883555,-6723.5282,5.7694321,-0.00078623403,3669.2994,3860.3811
3,2712,3500,2870.6969,-45.984684,1.1884874,-5835.0614,5.2221036,-0.00070254939,3715.9157,3868.8903
3,3501,4196,2831.7941,-52.581995,1.1968658,-5509.019,5.0555487,-0.00068096561,3716.7405,3867.4847
3,4197,4334,2666.954,-56.852229,1.2881998,-6227.744,5.9172864,-0.00086786021,3410.3612,3859.1786
3,4335,5000,2918.3104,-23.829227,1.2918337,-56840.078,37.81941,-0.0069533962,3293.708,3995.9066
4,2001,2232,2878.2126,-32.345415,1.226374,-8491.0679,7.1018348,-0.0010203471,3480.4854,3868.1049
4,2233,2289,2867.812,-28.686151,1.2265332,-8133.9651,6.8712062,-0.00098330823,3495.0076,3876.6541
4,2290,2353,2939.963,1.2437673,1.2298154,-28728.705,19.34167,-0.0049043413,3418.1736,3934.2105
4,2354,2565,3025.9019,-0.58031484,1.2313844,-50441.949,32.322639,-0.0062866588,3417.2159,3990.4004
4,2566,2633,2900.655,-30.663881,1.2229263,-9107.9861,7.4814199,-0.0010787666,3468.0992,3862.5204
4,2634,2711,2918.1128,-35.897145,1.2238664,-10146.777,8.1526867,-0.0011870545,3434.2419,3851.4108
4,2712,3500,2896.3572,-28.946294,1.2222368,-9157.0298,7.5241799,-0.0010876993,3459.4884,3855.6626
4,3501,4075,2883.1907,-29.977909,1.2271962,-9209.6013,7.5887225,-0.0011038011,3439.0101,3850.4129
4,4076,4196,2882.2842,-35.68668,1.2294134,-9279.4846,7.6436423,-0.0011129531,3434.505,3846.1671
