bar,run_start,run_stop,attenuation_length,attenuation_length_error,gain_ratio,gain_ratio_error
1,2001,2281,92.446288,2.0343672,1.0045486,0.012546352
1,2282,2575,92.330596,0.81418455,1.0091412,0.0050737799
1,2576,2637,92.523036,0.78150464,1.0036706,0.0047911469
1,2638,2717,92.79103,0.42756606,0.98897757,0.0025453022
1,2718,2826,92.893974,0.57006863,0.98339874,0.0033880513
1,2827,3500,92.952769,0.89132603,1.0024534,0.0053939712
1,3501,4075,89.042879,0.98548923,0.98645319,0.006340661
1,4076,4112,89.052099,0.7565669,0.96355172,0.0048927536
1,4113,4196,89.318231,0.68340211,0.97742947,0.0044254958
1,4197,4225,89.151572,0.65751217,1.0209253,0.0044861494
1,4226,4333,88.659672,0.47192172,1.0123911,0.003232512
1,4334,4451,87.315584,0.52008056,1.0111161,0.0036690172
1,4452,4515,87.444787,0.56203574,1.0067144,0.0039312141
1,4516,4577,87.157426,0.30281293,1.0015448,0.0021273985
1,4578,4600,88.204599,1.2058934,1.0053638,0.0081900267
1,4601,5000,87.425,0.54674288,1.0032904,0.0038306165
2,2001,2494,102.91791,1.4824627,0.84751904,0.0063830748
2,2495,2565,102.53397,0.81166087,0.83910455,0.0035095259
2,2566,2647,103.28555,0.93366612,0.83556471,0.0039336819
2,2648,3500,103.42874,0.87557023,0.82428237,0.0036297874
2,3501,4075,98.657362,1.2050871,0.78634884,0.0051470748
2,4076,4126,98.572577,0.90870714,0.77083121,0.003935119
2,4127,4232,98.308333,0.71563426,0.80436584,0.0032482851
2,4233,4332,98.102551,0.58105173,0.78366877,0.0025893472
2,4333,4506,96.685782,0.62743574,0.75797972,0.0028068845
2,4507,5000,96.492326,0.51710632,0.7725181,0.0023671724
3,2001,2357,81.564782,1.0355779,1.1208584,0.0089723687
3,2358,2485,82.086496,0.54481122,1.1007428,0.0046931165
3,2486,2565,81.667405,0.46516758,1.0828997,0.003960277
3,2566,2628,82.573565,0.5629681,1.0769348,0.0046453352
3,2629,2715,82.773241,0.32286519,1.091382,0.0026405614
3,2716,2826,82.79918,0.3826997,1.0647768,0.0030755543
3,2827,3500,82.922075,0.60712746,1.0920665,0.0050181649
3,3501,4075,77.667929,0.65958351,1.0857387,0.0061142591
3,4076,4112,77.792154,0.51366781,1.0532787,0.004783087
3,4113,4196,78.629449,0.42986157,1.0672898,0.0040430613
3,4197,4332,77.691685,0.32988203,1.163307,0.0034003289
3,4333,5000,75.649649,0.32739858,1.1404285,0.0035258431
4,2001,2281,105.4742,2.3256241,1.0352076,0.011338864
4,2282,2358,104.88056,0.87195627,1.0061753,0.0042837047
4,2359,2498,104.6217,0.8726078,1.0750503,0.0045952244
4,2499,2565,104.06872,0.67631601,1.0626354,0.0035619741
4,2566,2632,105.00202,0.87104141,1.0938556,0.0046084153
4,2633,2826,105.21114,0.49673168,1.0673622,0.0025382008
4,2827,3500,105.27008,0.94555046,1.0813561,0.0048969537
4,3501,4072,101.40663,1.1239627,0.9925751,0.0056842641
4,4073,4112,101.2026,0.82394566,0.98431114,0.0042446237
4,4113,4196,102.35856,0.68169922,0.99771679,0.0034897363
4,4197,4225,100.97747,0.70306421,1.0018966,0.0037444674
4,4226,4332,100.51158,0.50333357,0.98772718,0.0026480076
4,4333,5000,99.171531,0.53888075,0.97860399,0.0029104401
5,2001,2162,112.68543,2.4584205,0.97634031,0.0098736171
5,2163,2263,112.97763,2.6509444,0.97965602,0.010614137
5,2264,2289,109.90865,2.6055634,0.98829241,0.011533839
5,2290,2565,109.06825,1.0341187,0.96283839,0.0046288106
5,2566,2636,109.58633,1.0606188,0.98607998,0.0047440142
5,2637,2711,110.06268,0.56207564,0.99253205,0.0024840452
5,2712,3500,110.23535,1.0686007,0.97659942,0.0046549702
5,3501,4075,106.36239,1.3620891,0.98189633,0.0063284488
5,4076,4112,107.05713,1.0410246,0.97051722,0.0047834678
5,4113,4196,107.57041,0.85707755,0.9659083,0.0038793878
5,4197,4225,105.997,0.86417502,1.0004742,0.004162429
5,4226,4337,105.66496,0.62235235,1.0056029,0.0030557005
5,4338,5000,104.75208,0.66790634,0.9877958,0.0033191295
6,2001,2289,100.95225,2.0472307,0.93018151,0.0099113597
6,2290,2565,100.38728,0.78405207,0.92161702,0.0038598316
