bar,p0,p1,p2
1,265.71540256843076,-0.020842680114836698,0.008994041488033067
2,270.94803720519565,-0.012121525404905631,0.007991619780487125
3,208.0352096338077,0.007516577484566467,0.009565801241152916
4,289.83533110812476,-0.009824181166173895,0.008168663800259268
5,339.892490692683,0.11155337310184332,0.008264874626233043
6,278.2329190402543,0.03358547262349387,0.008994900463987876
7,268.2629660935834,0.017025049937019254,0.008952659764138837
8,247.7031679550149,0.023735876491360997,0.008504079047627178
9,234.63135509270708,0.05558434179589844,0.009111431338625908
10,294.5225734943199,0.07147553372184046,0.007607739904040178
11,250.6090321403039,0.028779262114893678,0.008641467159016702
12,281.52634401563364,0.0945724887637801,0.007269149495982674
13,315.9519454544276,0.1131996840186108,0.00842135602213423
14,223.13068076833397,-0.03120438645682122,0.009316659118582038
15,249.6433376649155,0.07957839801421485,0.009609328217736302
16,273.2880207882999,-0.056129216702156315,0.007727700057470366
17,237.79316842016763,-0.1264895758323828,0.007384526300368615
18,243.34916160991185,-0.03364395278296484,0.009295177363111473
19,243.3865282722781,-0.045590227230146274,0.008376212031633523
20,270.98414817925703,-0.02360435876116429,0.010271862442237656
21,281.38907329771956,-0.017146858913497764,0.009129145841358377
22,281.79059176234364,-0.007872919096885145,0.006874252048289842
23,267.293745369137,-0.027395204216181135,0.0069837147557557655
24,345.08419167313747,0.0281294731315076,0.008021250484672393
