energy efficiency
5   0.00797895
10  0.0905868
15  0.0993003
20  0.088143
25  0.0835734
30  0.0833521
35  0.079609
40  0.0758567
45  0.0720833
50  0.0676264
55  0.0629375
60  0.0584066
65  0.0539827
70  0.0500371
75  0.0468724
80  0.0441371
85  0.0428736
90  0.0423029
95  0.0412687
100 0.0404296
105 0.0397717
110 0.0389422
115 0.0379883
120 0.0372194
125 0.0363393
130 0.0355616
135 0.0348871
140 0.0341535
145 0.0337051
150 0.0333311
155 0.0330391
160 0.0325055
165 0.0321122
170 0.0317937
175 0.0316671
180 0.0314365
185 0.0311212
190 0.0310238
195 0.0308525
200 0.0306318
205 0.0303828
210 0.0303219
215 0.0303073
220 0.0302295
225 0.0302222
230 0.0300859
235 0.0299843
240 0.0301094
245 0.0299315
250 0.0298365
255 0.0299096
260 0.0300517
265 0.0298338
270 0.0300088
275 0.0299034
280 0.0301045
285 0.0300592
290 0.0298377
295 0.0300734
300 0.0298776 
