# Input.data:
#       None
#    1000000, -213.0000,    0.0400
#       None,    0.0000,    0.0000,    0.0010,       300
#       None
#    0.0000,    0.0000, -450.0000
#    4.3000,    6.3500,    4.3000
#         2,         1,         2,         3
  energy    efficiency  mode
       1     0          scinful
       2     0          scinful
       3    -0          scinful
       4     0          scinful
       5     0          scinful
       6    -0          scinful
       7     0.0107127  scinful
       8     0.0410893  scinful
       9     0.0695309  scinful
      10     0.0845056  scinful
      11     0.0916335  scinful
      12     0.0960283  scinful
      13     0.0968167  scinful
      14     0.0989796  scinful
      15     0.098608   scinful
      16     0.0972352  scinful
      17     0.0958745  scinful
      18     0.0937511  scinful
      19     0.0911781  scinful
      20     0.0878666  scinful
      21     0.0854839  scinful
      22     0.0841851  scinful
      23     0.084424   scinful
      24     0.0838228  scinful
      25     0.0836378  scinful
      26     0.0840794  scinful
      27     0.084499   scinful
      28     0.0851362  scinful
      29     0.0850371  scinful
      30     0.085022   scinful
      31     0.0849399  scinful
      32     0.0846682  scinful
      33     0.0843958  scinful
      34     0.0836957  scinful
      35     0.0829629  scinful
      36     0.0824857  scinful
      37     0.082256   scinful
      38     0.0819244  scinful
      39     0.0813796  scinful
      40     0.0808772  scinful
      41     0.0806343  scinful
      42     0.0803733  scinful
      43     0.0799846  scinful
      44     0.0795768  scinful
      45     0.0793479  scinful
      46     0.0788292  scinful
      47     0.0782692  scinful
      48     0.07743    scinful
      49     0.0769322  scinful
      50     0.0762153  scinful
      51     0.0753349  scinful
      52     0.0748763  scinful
      53     0.0741852  scinful
      54     0.0734058  scinful
      55     0.072687   scinful
      56     0.0720586  scinful
      57     0.0712526  scinful
      58     0.0705069  scinful
      59     0.0698555  scinful
      60     0.0690882  scinful
      61     0.0683095  scinful
      62     0.0677286  scinful
      63     0.0670657  scinful
      64     0.0665124  scinful
      65     0.0658853  scinful
      66     0.0653125  scinful
      67     0.0645203  scinful
      68     0.0638285  scinful
      69     0.0632431  scinful
      70     0.0627012  scinful
      71     0.0622541  scinful
      72     0.0618347  scinful
      73     0.0613816  scinful
      74     0.06095    scinful
      75     0.060648   scinful
      76     0.0601678  scinful
      77     0.059828   scinful
      78     0.0593865  scinful
      79     0.059064   scinful
      80     0.0586219  scinful
      81     0.0581401  interpolated
      82     0.0576634  interpolated
      83     0.0571915  interpolated
      84     0.0567245  interpolated
      85     0.0562623  interpolated
      86     0.0558049  interpolated
      87     0.0553523  interpolated
      88     0.0549043  interpolated
      89     0.0544611  interpolated
      90     0.0540224  interpolated
      91     0.0535883  interpolated
      92     0.0531588  interpolated
      93     0.0527337  interpolated
      94     0.0523131  interpolated
      95     0.0518969  interpolated
      96     0.0514851  interpolated
      97     0.0510777  interpolated
      98     0.0506745  interpolated
      99     0.0502755  interpolated
     100     0.0498807  interpolated
     101     0.0494901  interpolated
     102     0.0491037  interpolated
     103     0.0487213  interpolated
     104     0.0483429  interpolated
     105     0.0479686  interpolated
     106     0.0475981  interpolated
     107     0.0472316  interpolated
     108     0.046869   interpolated
     109     0.0465102  interpolated
     110     0.0461552  interpolated
     111     0.0458039  interpolated
     112     0.0454563  interpolated
     113     0.0451124  interpolated
     114     0.0447721  interpolated
     115     0.0444354  interpolated
     116     0.0441022  interpolated
     117     0.0437725  interpolated
     118     0.0434463  interpolated
     119     0.0431235  interpolated
     120     0.042804   interpolated
     121     0.0424879  interpolated
     122     0.042175   interpolated
     123     0.0418654  interpolated
     124     0.041559   interpolated
     125     0.0412558  interpolated
     126     0.0409557  interpolated
     127     0.0406586  interpolated
     128     0.0403646  interpolated
     129     0.0400736  interpolated
     130     0.0397855  interpolated
     131     0.0395004  qmd
     132     0.0392384  qmd
     133     0.0390518  qmd
     134     0.0388415  qmd
     135     0.0386002  qmd
     136     0.0384339  qmd
     137     0.0382344  qmd
     138     0.0380963  qmd
     139     0.0378515  qmd
     140     0.0372225  qmd
     141     0.0368992  qmd
     142     0.0369223  qmd
     143     0.0368163  qmd
     144     0.0367349  qmd
     145     0.0367006  qmd
     146     0.0366786  qmd
     147     0.0366049  qmd
     148     0.0366318  qmd
     149     0.0364967  qmd
     150     0.0364311  qmd
     151     0.0364509  qmd
     152     0.0360826  qmd
     153     0.0359894  qmd
     154     0.0357336  qmd
     155     0.0354808  qmd
     156     0.0353666  qmd
     157     0.0352691  qmd
     158     0.0351617  qmd
     159     0.0350624  qmd
     160     0.0350661  qmd
     161     0.0350357  qmd
     162     0.034944   qmd
     163     0.0348955  qmd
     164     0.0348521  qmd
     165     0.0347967  qmd
     166     0.0347253  qmd
     167     0.034631   qmd
     168     0.0346013  qmd
     169     0.0345778  qmd
