# measurement unit: cm
  nwa-bar    dir_x    dir_y    dir_z         x          y         z
        1       -1       -1       -1  408.6201  -110.1557  344.3824
        1       -1       -1        1  404.1895  -110.1557  338.9823
        1       -1        1       -1  408.6201  -101.9006  344.3824
        1       -1        1        1  404.1895  -101.9006  338.9823
        1        1       -1       -1  258.8921  -110.1557  467.2300
        1        1       -1        1  254.4616  -110.1557  461.8299
        1        1        1       -1  258.8921  -101.9006  467.2300
        1        1        1        1  254.4616  -101.9006  461.8299
        2       -1       -1       -1  408.5348  -101.5836  344.3590
        2       -1       -1        1  404.1042  -101.5836  338.9590
        2       -1        1       -1  408.5348   -93.3286  344.3590
        2       -1        1        1  404.1042   -93.3286  338.9590
        2        1       -1       -1  258.8068  -101.5836  467.2066
        2        1       -1        1  254.3762  -101.5836  461.8066
        2        1        1       -1  258.8068   -93.3286  467.2066
        2        1        1        1  254.3762   -93.3286  461.8066
        3       -1       -1       -1  408.4495   -93.0115  344.3356
        3       -1       -1        1  404.0189   -93.0115  338.9356
        3       -1        1       -1  408.4495   -84.7566  344.3356
        3       -1        1        1  404.0189   -84.7566  338.9356
        3        1       -1       -1  258.7215   -93.0115  467.1832
        3        1       -1        1  254.2909   -93.0115  461.7832
        3        1        1       -1  258.7215   -84.7566  467.1832
        3        1        1        1  254.2909   -84.7566  461.7832
        4       -1       -1       -1  408.3642   -84.4396  344.3122
        4       -1       -1        1  403.9336   -84.4396  338.9122
        4       -1        1       -1  408.3642   -76.1845  344.3122
        4       -1        1        1  403.9336   -76.1845  338.9122
        4        1       -1       -1  258.6363   -84.4396  467.1599
        4        1       -1        1  254.2057   -84.4396  461.7598
        4        1        1       -1  258.6363   -76.1845  467.1599
        4        1        1        1  254.2057   -76.1845  461.7598
        5       -1       -1       -1  408.2789   -75.8675  344.2889
        5       -1       -1        1  403.8484   -75.8675  338.8888
        5       -1        1       -1  408.2789   -67.6125  344.2889
        5       -1        1        1  403.8484   -67.6125  338.8888
        5        1       -1       -1  258.5510   -75.8675  467.1365
        5        1       -1        1  254.1204   -75.8675  461.7365
        5        1        1       -1  258.5510   -67.6125  467.1365
        5        1        1        1  254.1204   -67.6125  461.7365
        6       -1       -1       -1  408.1937   -67.2955  344.2655
        6       -1       -1        1  403.7631   -67.2955  338.8654
        6       -1        1       -1  408.1937   -59.0404  344.2655
        6       -1        1        1  403.7631   -59.0404  338.8654
        6        1       -1       -1  258.4656   -67.2955  467.1131
        6        1       -1        1  254.0352   -67.2955  461.7131
        6        1        1       -1  258.4656   -59.0404  467.1131
        6        1        1        1  254.0352   -59.0404  461.7131
        7       -1       -1       -1  408.1084   -58.7234  344.2421
        7       -1       -1        1  403.6778   -58.7234  338.8421
        7       -1        1       -1  408.1084   -50.4684  344.2421
        7       -1        1        1  403.6778   -50.4684  338.8421
        7        1       -1       -1  258.3804   -58.7234  467.0897
        7        1       -1        1  253.9498   -58.7234  461.6897
        7        1        1       -1  258.3804   -50.4684  467.0897
        7        1        1        1  253.9498   -50.4684  461.6897
        8       -1       -1       -1  408.0231   -50.1514  344.2187
        8       -1       -1        1  403.5925   -50.1514  338.8187
        8       -1        1       -1  408.0231   -41.8963  344.2187
        8       -1        1        1  403.5925   -41.8963  338.8187
        8        1       -1       -1  258.2952   -50.1514  467.0663
        8        1       -1        1  253.8646   -50.1514  461.6664
        8        1        1       -1  258.2952   -41.8963  467.0663
        8        1        1        1  253.8646   -41.8963  461.6664
        9       -1       -1       -1  407.9378   -41.5793  344.1954
        9       -1       -1        1  403.5072   -41.5793  338.7953
        9       -1        1       -1  407.9378   -33.3243  344.1954
        9       -1        1        1  403.5072   -33.3243  338.7953
        9        1       -1       -1  258.2098   -41.5793  467.0430
        9        1       -1        1  253.7792   -41.5793  461.6429
        9        1        1       -1  258.2098   -33.3243  467.0430
        9        1        1        1  253.7792   -33.3243  461.6429
