# measurement unit: cm
# vector:
#   - L is NW bar center in lab frame
#   - X, Y, Z are NW bar's principal components in lab frame w.r.t. to L
# nwa-bar  vector        lab-x       lab-y      lab-z
        0  L         331.54079  -106.02815  403.10616
        0  X          -0.77306    -0.00596    0.63431
        0  Y          -0.00995     0.99995   -0.00273
        0  Z          -0.63426    -0.00842   -0.77308
        1  L         331.45550   -97.45613  403.08280
        1  X          -0.77306    -0.00596    0.63431
        1  Y          -0.00994     0.99995   -0.00272
        1  Z          -0.63426    -0.00841   -0.77308
        2  L         331.37020   -88.88407  403.05940
        2  X          -0.77306    -0.00596    0.63431
        2  Y          -0.00994     0.99995   -0.00272
        2  Z          -0.63426    -0.00841   -0.77308
        3  L         331.28491   -80.31205  403.03604
        3  X          -0.77306    -0.00596    0.63431
        3  Y          -0.00995     0.99995   -0.00273
        3  Z          -0.63426    -0.00842   -0.77308
        4  L         331.19965   -71.74000  403.01266
        4  X          -0.77306    -0.00596    0.63431
        4  Y          -0.00996     0.99995   -0.00274
        4  Z          -0.63426    -0.00843   -0.77308
        5  L         331.11439   -63.16795  402.98929
        5  X          -0.77306    -0.00596    0.63431
        5  Y          -0.00995     0.99995   -0.00273
        5  Z          -0.63426    -0.00842   -0.77308
        6  L         331.02910   -54.59590  402.96590
        6  X          -0.77306    -0.00596    0.63431
        6  Y          -0.00994     0.99995   -0.00272
        6  Z          -0.63426    -0.00841   -0.77308
        7  L         330.94380   -46.02385  402.94253
        7  X          -0.77306    -0.00596    0.63431
        7  Y          -0.00995     0.99995   -0.00273
        7  Z          -0.63426    -0.00843   -0.77308
        8  L         330.85851   -37.45182  402.91915
        8  X          -0.77306    -0.00596    0.63431
        8  Y          -0.00995     0.99995   -0.00273
        8  Z          -0.63426    -0.00842   -0.77308
        9  L         330.77325   -28.87975  402.89578
        9  X          -0.77306    -0.00596    0.63431
        9  Y          -0.00995     0.99995   -0.00273
        9  Z          -0.63426    -0.00842   -0.77308
       10  L         330.68797   -20.30774  402.87240
       10  X          -0.77306    -0.00596    0.63431
       10  Y          -0.00995     0.99995   -0.00272
       10  Z          -0.63426    -0.00841   -0.77308
       11  L         330.60270   -11.73567  402.84901
       11  X          -0.77306    -0.00596    0.63431
       11  Y          -0.00995     0.99995   -0.00273
       11  Z          -0.63426    -0.00842   -0.77308
       12  L         330.51740    -3.16365  402.82565
       12  X          -0.77306    -0.00596    0.63431
       12  Y          -0.00994     0.99995   -0.00272
       12  Z          -0.63426    -0.00841   -0.77308
       13  L         330.43211     5.40840  402.80226
       13  X          -0.77306    -0.00596    0.63431
       13  Y          -0.00995     0.99995   -0.00273
       13  Z          -0.63426    -0.00842   -0.77308
       14  L         330.34681    13.98045  402.77889
       14  X          -0.77306    -0.00596    0.63431
       14  Y          -0.00995     0.99995   -0.00273
       14  Z          -0.63426    -0.00842   -0.77308
       15  L         330.26155    22.55250  402.75550
       15  X          -0.77306    -0.00596    0.63431
       15  Y          -0.00995     0.99995   -0.00273
       15  Z          -0.63426    -0.00842   -0.77308
       16  L         330.17629    31.12455  402.73214
       16  X          -0.77306    -0.00596    0.63431
       16  Y          -0.00995     0.99995   -0.00273
       16  Z          -0.63426    -0.00842   -0.77308
       17  L         330.09100    39.69658  402.70876
       17  X          -0.77306    -0.00596    0.63431
       17  Y          -0.00995     0.99995   -0.00273
       17  Z          -0.63426    -0.00842   -0.77308
       18  L         330.00570    48.26863  402.68539
       18  X          -0.77306    -0.00596    0.63431
       18  Y          -0.00995     0.99995   -0.00273
       18  Z          -0.63426    -0.00842   -0.77308
       19  L         329.92041    56.84065  402.66200
       19  X          -0.77306    -0.00596    0.63431
       19  Y          -0.00995     0.99995   -0.00273
       19  Z          -0.63426    -0.00842   -0.77308
       20  L         329.83515    65.41271  402.63862
       20  X          -0.77306    -0.00596    0.63431
       20  Y          -0.00996     0.99995   -0.00274
       20  Z          -0.63426    -0.00843   -0.77308
       21  L         329.74989    73.98475  402.61525
       21  X          -0.77306    -0.00596    0.63431
       21  Y          -0.00995     0.99995   -0.00273
       21  Z          -0.63426    -0.00842   -0.77308
       22  L         329.66460    82.55680  402.59187
       22  X          -0.77306    -0.00596    0.63431
       22  Y          -0.00994     0.99995   -0.00272
       22  Z          -0.63426    -0.00841   -0.77308
       23  L         329.57930    91.12885  402.56850
       23  X          -0.77306    -0.00596    0.63431
       23  Y          -0.00994     0.99995   -0.00272
       23  Z          -0.63426    -0.00841   -0.77308
       24  L         329.49401    99.70087  402.54511
       24  X          -0.77306    -0.00596    0.63431
       24  Y          -0.00995     0.99995   -0.00273
       24  Z          -0.63426    -0.00842   -0.77308
