# measurement unit: cm
  nwa-bar    dir_x    dir_y    dir_z         x          y         z
        0       -1       -1       -1  408.6581  -109.5488  344.3928
        0       -1       -1        1  404.2278  -109.6076  338.9928
        0       -1        1       -1  408.5760  -101.2942  344.3703
        0       -1        1        1  404.1457  -101.3530  338.9703
        0        1       -1       -1  258.9359  -110.7033  467.2420
        0        1       -1        1  254.5056  -110.7621  461.8421
        0        1        1       -1  258.8537  -102.4487  467.2195
        0        1        1        1  254.4235  -102.5075  461.8195
        1       -1       -1       -1  408.5728  -100.9767  344.3694
        1       -1       -1        1  404.1425  -101.0355  338.9695
        1       -1        1       -1  408.4907   -92.7222  344.3469
        1       -1        1        1  404.0604   -92.7810  338.9470
        1        1       -1       -1  258.8506  -102.1313  467.2186
        1        1       -1        1  254.4203  -102.1901  461.8187
        1        1        1       -1  258.7685   -93.8767  467.1961
        1        1        1        1  254.3382   -93.9355  461.7962
        2       -1       -1       -1  408.4875   -92.4047  344.3460
        2       -1       -1        1  404.0572   -92.4635  338.9461
        2       -1        1       -1  408.4054   -84.1501  344.3235
        2       -1        1        1  403.9751   -84.2089  338.9236
        2        1       -1       -1  258.7653   -93.5592  467.1952
        2        1       -1        1  254.3350   -93.6180  461.7953
        2        1        1       -1  258.6832   -85.3047  467.1727
        2        1        1        1  254.2529   -85.3635  461.7728
        3       -1       -1       -1  408.4022   -83.8327  344.3227
        3       -1       -1        1  403.9720   -83.8915  338.9227
        3       -1        1       -1  408.3201   -75.5781  344.3001
        3       -1        1        1  403.8898   -75.6369  338.9002
        3        1       -1       -1  258.6800   -84.9872  467.1719
        3        1       -1        1  254.2497   -85.0460  461.7719
        3        1        1       -1  258.5979   -76.7326  467.1494
        3        1        1        1  254.1676   -76.7914  461.7494
        4       -1       -1       -1  408.3170   -75.2606  344.2993
        4       -1       -1        1  403.8867   -75.3194  338.8993
        4       -1        1       -1  408.2348   -67.0061  344.2768
        4       -1        1        1  403.8046   -67.0649  338.8768
        4        1       -1       -1  258.5947   -76.4151  467.1485
        4        1       -1        1  254.1645   -76.4739  461.7486
        4        1        1       -1  258.5126   -68.1606  467.1260
        4        1        1        1  254.0823   -68.2194  461.7260
        5       -1       -1       -1  408.2317   -66.6886  344.2759
        5       -1       -1        1  403.8014   -66.7474  338.8760
        5       -1        1       -1  408.1496   -58.4340  344.2534
        5       -1        1        1  403.7193   -58.4928  338.8534
        5        1       -1       -1  258.5095   -67.8431  467.1251
        5        1       -1        1  254.0792   -67.9019  461.7252
        5        1        1       -1  258.4273   -59.5885  467.1026
        5        1        1        1  253.9971   -59.6473  461.7027
        6       -1       -1       -1  408.1464   -58.1165  344.2525
        6       -1       -1        1  403.7161   -58.1753  338.8526
        6       -1        1       -1  408.0643   -49.8620  344.2300
        6       -1        1        1  403.6340   -49.9208  338.8301
        6        1       -1       -1  258.4242   -59.2710  467.1017
        6        1       -1        1  253.9939   -59.3298  461.7018
        6        1        1       -1  258.3421   -51.0165  467.0792
        6        1        1        1  253.9118   -51.0753  461.6793
        7       -1       -1       -1  408.0611   -49.5445  344.2292
        7       -1       -1        1  403.6308   -49.6033  338.8292
        7       -1        1       -1  407.9790   -41.2899  344.2066
        7       -1        1        1  403.5487   -41.3487  338.8067
        7        1       -1       -1  258.3389   -50.6990  467.0784
        7        1       -1        1  253.9086   -50.7578  461.6784
        7        1        1       -1  258.2568   -42.4444  467.0558
        7        1        1        1  253.8265   -42.5032  461.6559
        8       -1       -1       -1  407.9758   -40.9724  344.2058
        8       -1       -1        1  403.5456   -41.0312  338.8058
        8       -1        1       -1  407.8937   -32.7179  344.1833
        8       -1        1        1  403.4634   -32.7767  338.7833
        8        1       -1       -1  258.2536   -42.1270  467.0550
        8        1       -1        1  253.8233   -42.1858  461.6550
        8        1        1       -1  258.1715   -33.8724  467.0325
        8        1        1        1  253.7412   -33.9312  461.6325
        9       -1       -1       -1  407.8906   -32.4004  344.1824
        9       -1       -1        1  403.4603   -32.4592  338.7824
        9       -1        1       -1  407.8084   -24.1458  344.1599
        9       -1        1        1  403.3782   -24.2046  338.7599
        9        1       -1       -1  258.1683   -33.5549  467.0316
        9        1       -1        1  253.7381   -33.6137  461.6317
        9        1        1       -1  258.0862   -25.3003  467.0091
        9        1        1        1  253.6559   -25.3591  461.6092
       10       -1       -1       -1  407.8053   -23.8283  344.1590
       10       -1       -1        1  403.3750   -23.8872  338.7591
       10       -1        1       -1  407.7231   -15.5738  344.1365
