# measurement unit: cm
  nwb-bar    dir_x    dir_y    dir_z         x          y         z
        1       -1       -1       -1  359.3784  -110.8046  285.4108
        1       -1       -1        1  354.9305  -110.8046  280.0250
        1       -1        1       -1  359.3784  -102.5496  285.4108
        1       -1        1        1  354.9305  -102.5496  280.0250
        1        1       -1       -1  210.0464  -110.8046  408.7393
        1        1       -1        1  205.5984  -110.8046  403.3536
        1        1        1       -1  210.0464  -102.5496  408.7393
        1        1        1        1  205.5984  -102.5496  403.3536
        2       -1       -1       -1  359.3488  -102.2322  285.4009
        2       -1       -1        1  354.9009  -102.2322  280.0152
        2       -1        1       -1  359.3488   -93.9772  285.4009
        2       -1        1        1  354.9009   -93.9772  280.0152
        2        1       -1       -1  210.0168  -102.2322  408.7296
        2        1       -1        1  205.5688  -102.2322  403.3438
        2        1        1       -1  210.0168   -93.9772  408.7296
        2        1        1        1  205.5688   -93.9772  403.3438
        3       -1       -1       -1  359.3192   -93.6597  285.3912
        3       -1       -1        1  354.8713   -93.6597  280.0054
        3       -1        1       -1  359.3192   -85.4048  285.3912
        3       -1        1        1  354.8713   -85.4048  280.0054
        3        1       -1       -1  209.9872   -93.6597  408.7198
        3        1       -1        1  205.5392   -93.6597  403.3341
        3        1        1       -1  209.9872   -85.4048  408.7198
        3        1        1        1  205.5392   -85.4048  403.3341
        4       -1       -1       -1  359.2896   -85.0873  285.3814
        4       -1       -1        1  354.8416   -85.0873  279.9957
        4       -1        1       -1  359.2896   -76.8323  285.3814
        4       -1        1        1  354.8416   -76.8323  279.9957
        4        1       -1       -1  209.9575   -85.0873  408.7100
        4        1       -1        1  205.5096   -85.0873  403.3243
        4        1        1       -1  209.9575   -76.8323  408.7100
        4        1        1        1  205.5096   -76.8323  403.3243
        5       -1       -1       -1  359.2600   -76.5148  285.3716
        5       -1       -1        1  354.8121   -76.5148  279.9859
        5       -1        1       -1  359.2600   -68.2599  285.3716
        5       -1        1        1  354.8121   -68.2599  279.9859
        5        1       -1       -1  209.9280   -76.5148  408.7003
        5        1       -1        1  205.4800   -76.5148  403.3145
        5        1        1       -1  209.9280   -68.2599  408.7003
