# measurement unit: cm
# vector:
#   - L is NW bar center in lab frame
#   - X, Y, Z are NW bar's principal components in lab frame w.r.t. to L,
#     with the lengths equal to the bar's respective dimensions (without Pyrex)
  nwb-bar  vector         lab-x       lab-y      lab-z
        0  L          282.48840  -106.67714  344.38216
        0  X         -148.84178    -0.37385  122.92446
        0  Y           -0.02637     7.62000   -0.00876
        0  Z           -4.04352    -0.01962   -4.89611
        1  L          282.45880   -98.10470  344.37239
        1  X         -148.84178    -0.37387  122.92446
        1  Y           -0.02633     7.62000   -0.00870
        1  Z           -4.04357    -0.01956   -4.89617
        2  L          282.42920   -89.53225  344.36264
        2  X         -148.84183    -0.37387  122.92450
        2  Y           -0.02633     7.61990   -0.00870
        2  Z           -4.04352    -0.01956   -4.89611
        3  L          282.39960   -80.95980  344.35285
        3  X         -148.84179    -0.37387  122.92444
        3  Y           -0.02629     7.62000   -0.00865
        3  Z           -4.04352    -0.01951   -4.89611
        4  L          282.37000   -72.38736  344.34308
        4  X         -148.84176    -0.37385  122.92447
        4  Y           -0.02633     7.61990   -0.00871
        4  Z           -4.04357    -0.01957   -4.89617
        5  L          282.34040   -63.81493  344.33333
        5  X         -148.84181    -0.37382  122.92451
        5  Y           -0.02629     7.62000   -0.00866
        5  Z           -4.04352    -0.01951   -4.89611
        6  L          282.31080   -55.24247  344.32355
        6  X         -148.84179    -0.37382  122.92444
        6  Y           -0.02629     7.61990   -0.00866
        6  Z           -4.04352    -0.01951   -4.89611
        7  L          282.28120   -46.67004  344.31378
        7  X         -148.84176    -0.37385  122.92447
        7  Y           -0.02633     7.62000   -0.00871
        7  Z           -4.04357    -0.01957   -4.89617
        8  L          282.25160   -38.09759  344.30403
        8  X         -148.84181    -0.37385  122.92451
        8  Y           -0.02633     7.61990   -0.00871
        8  Z           -4.04352    -0.01957   -4.89611
        9  L          282.22200   -29.52515  344.29425
        9  X         -148.84179    -0.37387  122.92444
        9  Y           -0.02629     7.61990   -0.00865
        9  Z           -4.04352    -0.01951   -4.89611
       10  L          282.19240   -20.95270  344.28447
       10  X         -148.84176    -0.37387  122.92447
       10  Y           -0.02629     7.62000   -0.00865
       10  Z           -4.04357    -0.01951   -4.89617
       11  L          282.16280   -12.38025  344.27472
       11  X         -148.84181    -0.37387  122.92451
       11  Y           -0.02629     7.61990   -0.00865
       11  Z           -4.04352    -0.01951   -4.89611
       12  L          282.13320    -3.80783  344.26495
       12  X         -148.84179    -0.37382  122.92444
       12  Y           -0.02629     7.62000   -0.00866
       12  Z           -4.04352    -0.01951   -4.89611
       13  L          282.10360     4.76462  344.25518
       13  X         -148.84176    -0.37382  122.92447
       13  Y           -0.02629     7.61990   -0.00866
       13  Z           -4.04357    -0.01951   -4.89617
       14  L          282.07400    13.33707  344.24541
       14  X         -148.84178    -0.37382  122.92446
       14  Y           -0.02633     7.62000   -0.00870
       14  Z           -4.04357    -0.01956   -4.89617
       15  L          282.04440    21.90952  344.23564
       15  X         -148.84183    -0.37382  122.92450
       15  Y           -0.02633     7.61990   -0.00870
       15  Z           -4.04352    -0.01956   -4.89611
       16  L          282.01480    30.48195  344.22586
       16  X         -148.84178    -0.37387  122.92446
       16  Y           -0.02633     7.61990   -0.00870
       16  Z           -4.04352    -0.01956   -4.89611
       17  L          281.98520    39.05440  344.21609
       17  X         -148.84178    -0.37387  122.92446
       17  Y           -0.02633     7.62000   -0.00870
       17  Z           -4.04357    -0.01956   -4.89617
       18  L          281.95560    47.62685  344.20633
       18  X         -148.84181    -0.37387  122.92451
       18  Y           -0.02629     7.61990   -0.00865
       18  Z           -4.04352    -0.01951   -4.89611
       19  L          281.92600    56.19928  344.19655
       19  X         -148.84179    -0.37382  122.92444
       19  Y           -0.02629     7.62000   -0.00866
       19  Z           -4.04352    -0.01951   -4.89611
       20  L          281.89640    64.77173  344.18678
       20  X         -148.84176    -0.37382  122.92447
       20  Y           -0.02629     7.61990   -0.00866
       20  Z           -4.04357    -0.01951   -4.89617
       21  L          281.86680    73.34417  344.17703
       21  X         -148.84181    -0.37382  122.92451
       21  Y           -0.02629     7.62000   -0.00866
       21  Z           -4.04352    -0.01951   -4.89611
       22  L          281.83720    81.91662  344.16725
       22  X         -148.84179    -0.37382  122.92444
       22  Y           -0.02629     7.61990   -0.00866
       22  Z           -4.04352    -0.01951   -4.89611
       23  L          281.80760    90.48905  344.15747
       23  X         -148.84176    -0.37387  122.92447
       23  Y           -0.02629     7.61990   -0.00865
       23  Z           -4.04357    -0.01951   -4.89617
       24  L          281.77800    99.06150  344.14772
       24  X         -148.84181    -0.37387  122.92451
       24  Y           -0.02629     7.62000   -0.00865
       24  Z           -4.04352    -0.01951   -4.89611
