# measurement unit: cm
  nwb-bar    dir_x    dir_y    dir_z         x          y         z
        0       -1       -1       -1  359.3923  -110.6063  285.4153
        0       -1       -1        1  354.9444  -110.6278  280.0296
        0       -1        1       -1  359.3638  -102.3514  285.4059
        0       -1        1        1  354.9159  -102.3729  280.0202
        0        1       -1       -1  210.0609  -110.9814  408.7442
        0        1       -1        1  205.6130  -111.0029  403.3584
        0        1        1       -1  210.0324  -102.7265  408.7347
        0        1        1        1  205.5845  -102.7479  403.3490
        1       -1       -1       -1  359.3627  -102.0339  285.4056
        1       -1       -1        1  354.9148  -102.0554  280.0198
        1       -1        1       -1  359.3342   -93.7789  285.3961
        1       -1        1        1  354.8863   -93.8004  280.0104
        1        1       -1       -1  210.0313  -102.4090  408.7344
        1        1       -1        1  205.5834  -102.4305  403.3486
        1        1        1       -1  210.0028   -94.1540  408.7250
        1        1        1        1  205.5549   -94.1755  403.3392
        2       -1       -1       -1  359.3331   -93.4614  285.3958
        2       -1       -1        1  354.8852   -93.4829  280.0101
        2       -1        1       -1  359.3046   -85.2065  285.3864
        2       -1        1        1  354.8567   -85.2280  280.0006
        2        1       -1       -1  210.0017   -93.8365  408.7246
        2        1       -1        1  205.5538   -93.8580  403.3389
        2        1        1       -1  209.9732   -85.5816  408.7152
        2        1        1        1  205.5253   -85.6031  403.3295
        3       -1       -1       -1  359.3035   -84.8890  285.3860
        3       -1       -1        1  354.8556   -84.9105  280.0003
        3       -1        1       -1  359.2750   -76.6340  285.3766
        3       -1        1        1  354.8271   -76.6555  279.9909
        3        1       -1       -1  209.9721   -85.2641  408.7148
        3        1       -1        1  205.5242   -85.2856  403.3291
        3        1        1       -1  209.9436   -77.0091  408.7054
        3        1        1        1  205.4957   -77.0306  403.3197
        4       -1       -1       -1  359.2739   -76.3166  285.3762
        4       -1       -1        1  354.8260   -76.3380  279.9905
        4       -1        1       -1  359.2454   -68.0616  285.3668
        4       -1        1        1  354.7975   -68.0831  279.9811
        4        1       -1       -1  209.9425   -76.6916  408.7051
        4        1       -1        1  205.4946   -76.7131  403.3193
        4        1        1       -1  209.9140   -68.4367  408.6957
        4        1        1        1  205.4661   -68.4582  403.3099
        5       -1       -1       -1  359.2443   -67.7441  285.3665
        5       -1       -1        1  354.7964   -67.7656  279.9807
        5       -1        1       -1  359.2158   -59.4892  285.3571
        5       -1        1        1  354.7679   -59.5107  279.9713
        5        1       -1       -1  209.9129   -68.1192  408.6953
        5        1       -1        1  205.4650   -68.1407  403.3096
        5        1        1       -1  209.8844   -59.8642  408.6859
        5        1        1        1  205.4365   -59.8857  403.3002
