bar         a            b           c           d        e
  1   265.715  -0.0208427   0.00899404  -0.117415   1.06365
  2   270.948  -0.0121215   0.00799162  -0.138084   1.0766
  3   208.035   0.00751658  0.0095658   -0.140782   1.07748
  4   289.835  -0.00982418  0.00816866  -0.153481   1.08591
  5   339.892   0.111553    0.00826487  -0.150821   1.08387
  6   278.233   0.0335855   0.0089949   -0.119031   1.06475
  7   268.263   0.017025    0.00895266  -0.134435   1.07423
  8   247.703   0.0237359   0.00850408  -0.137448   1.07651
  9   234.631   0.0555843   0.00911143  -0.125301   1.06848
 10   294.523   0.0714755   0.00760774  -0.0365673  1.01666
 11   250.609   0.0287793   0.00864147  -0.140925   1.07827
 12   281.526   0.0945725   0.00726915  -0.0741191  1.03883
 13   315.952   0.1132      0.00842136  -0.115023   1.06269
 14   223.131  -0.0312044   0.00931666  -0.129359   1.07099
 15   249.643   0.0795784   0.00960933  -0.169015   1.09264
 16   273.288  -0.0561292   0.0077277   -0.223785   1.1277
 17   237.793  -0.12649     0.00738453  -0.286297   1.17359
 18   243.349  -0.033644    0.00929518  -0.145655   1.08212
 19   243.386  -0.0455902   0.00837621  -0.145526   1.08038
 20   270.984  -0.0236044   0.0102719   -0.0421602  1.01849
 21   281.389  -0.0171469   0.00912915  -0.0650806  1.03366
 22   281.791  -0.00787292  0.00687425  -0.0321136  1.01443
 23   267.294  -0.0273952   0.00698371  -0.241489   1.16865
 24   345.084   0.0281295   0.00802125  -0.166835   1.09232
