  nw_bar    vw_bar      nwb_x
       0         4  -85.5971
       0         5  -75.0876
       0         6  -65.0382
       0         7  -54.5881
       0         8  -44.4732
       0         9  -34.0827
       0        10  -23.9023
       0        11  -13.5712
       0        12   -3.32385
       0        13    6.96109
       0        14   17.2718
       0        15   27.484
       0        16   37.8615
       0        17   48.0141
       0        18   58.4573
       0        19   68.5503
       0        20   79.0592
       0        21   89.0926
       1         4  -85.6084
       1         5  -75.0995
       1         6  -65.0506
       1         7  -54.6012
       1         8  -44.4869
       1         9  -34.0969
       1        10  -23.9172
       1        11  -13.5867
       1        12   -3.33992
       1        13    6.9444
       1        14   17.2545
       1        15   27.4661
       1        16   37.843
       1        17   47.995
       1        18   58.4376
       1        19   68.5301
       1        20   79.0384
       1        21   89.0712
       2         4  -85.6196
       2         5  -75.1114
       2         6  -65.0631
       2         7  -54.6143
       2         8  -44.5006
       2         9  -34.1112
       2        10  -23.932
       2        11  -13.6022
       2        12   -3.35545
       2        13    6.9277
       2        14   17.2372
       2        15   27.4482
       2        16   37.8245
       2        17   47.976
       2        18   58.418
       2        19   68.5098
       2        20   79.0176
       2        21   89.0499
       3         4  -85.6309
       3         5  -75.1233
       3         6  -65.0756
       3         7  -54.6274
       3         8  -44.5142
       3         9  -34.1255
       3        10  -23.9469
       3        11  -13.6177
       3        12   -3.37087
       3        13    6.91064
       3        14   17.2199
       3        15   27.4304
       3        16   37.806
       3        17   47.9569
       3        18   58.3983
       3        19   68.4896
       3        20   78.9968
       3        21   89.0285
       4         4  -85.6421
       4         5  -75.1351
       4         6  -65.088
       4         7  -54.6405
       4         8  -44.5279
       4         9  -34.1398
       4        10  -23.9618
       4        11  -13.6332
       4        12   -3.38697
       4        13    6.89317
       4        14   17.2027
       4        15   27.4125
       4        16   37.7876
       4        17   47.9379
       4        18   58.3787
       4        19   68.4694
       4        20   78.976
       4        21   89.0071
       5         4  -85.6534
       5         5  -75.1471
       5         6  -65.1006
       5         7  -54.6536
       5         8  -44.5417
       5         9  -34.1542
       5        10  -23.9768
       5        11  -13.6487
       5        12   -3.40311
       5        13    6.87643
       5        14   17.1853
       5        15   27.3946
       5        16   37.7691
       5        17   47.9188
       5        18   58.359
       5        19   68.4492
       5        20   78.9551
       5        21   88.9858
       6         4  -85.6648
       6         5  -75.159
