  bar    run_start    run_stop          p0        p1
   01         2134        2288   -4.510090  7.550766
   01         2289        2564   -4.982047  7.531110
   01         2565        2829   -4.555815  7.548277
   01         2830        2870   -4.673614  7.546431
   01         4007        4332   -4.538498  7.551262
   01         4333        4661   -5.121376  7.544400
   02         2134        2308   25.079389  7.677355
   02         2309        2600   24.717424  7.637909
   02         2601        2870   25.020044  7.664964
   02         4007        4205   25.177514  7.664775
   02         4206        4333   25.479721  7.677948
   02         4334        4661   25.081970  7.657484
   03         2134        2356    5.977953  7.493468
   03         2357        2361   18.121900  7.495530
   03         2362        2484    4.943485  7.507121
   03         2485        2870   18.312819  7.477115
   03         4007        4195   18.010162  7.479980
   03         4196        4332    4.744783  7.485889
   03         4333        4508    4.747412  7.523710
   03         4509        4661    4.623473  7.511301
   04         2134        2258    5.977668  7.619248
   04         2259        2497    5.785201  7.586662
   04         2498        2564    5.491535  7.597765
   04         2565        2585    5.621822  7.609309
   04         2586        2625    5.760672  7.609982
   04         2626        2870    5.934889  7.618424
   04         4007        4071    5.918794  7.616728
   04         4072        4224    6.045102  7.615716
   04         4225        4332    6.095722  7.634785
   04         4333        4661    5.880398  7.609302
   05         2134        2304   -7.229587  7.756833
   05         2305        2494   -7.067598  7.712862
   05         2495        2569   -7.404400  7.731776
   05         2570        2870   -7.344994  7.749305
   05         4007        4071   -7.468456  7.745679
   05         4072        4117   -7.358473  7.744155
   05         4118        4333   -7.459469  7.768815
   05         4334        4661   -7.340170  7.734322
   06         2134        2279   21.656668  7.493353
   06         2280        2509   21.576705  7.482698
   06         2510        2651   21.731067  7.488884
   06         2652        2870   21.834105  7.493416
   06         4007        4073   21.792000  7.501439
   06         4074        4211   21.950410  7.499050
   06         4212        4332   22.072829  7.508751
   06         4333        4661   21.866800  7.500186
   07         2134        2279    3.820978  7.455585
   07         2280        2564    3.731511  7.410311
   07         2565        2629    3.683509  7.454906
   07         2630        2870    3.782418  7.460900
   07         4007        4074    3.340533  7.458236
   07         4075        4195    3.576539  7.456522
   07         4196        4332    3.831809  7.468055
   07         4333        4510    3.760329  7.423619
   07         4511        4661    3.690604  7.437028
   08         2134        2247  -31.760187  7.490411
   08         2248        2514  -31.988259  7.470946
   08         2515        2569  -31.699208  7.463703
   08         2570        2614  -31.849068  7.466537
   08         2615        2723  -31.962315  7.478643
   08         2724        2870  -31.842321  7.471917
   08         4007        4084  -32.092047  7.474469
   08         4085        4211  -32.250348  7.477788
   08         4212        4326  -32.440663  7.495366
   08         4327        4521  -32.506439  7.472665
   08         4522        4661  -32.627569  7.485131
   09         2134        2310   11.057516  7.510937
   09         2311        2486   11.111853  7.498596
   09         2487        2631   10.881188  7.501589
   09         2632        2870   10.785042  7.504347
   09         4007        4216   10.867747  7.500168
   09         4217        4332   10.721230  7.520964
   09         4333        4501   10.790569  7.506321
   09         4502        4661   10.673979  7.523005
   10         2134        2288  -38.340104  7.700008
   10         2289        2544  -38.351578  7.657153
   10         2545        2870  -38.543466  7.693785
   10         4007        4332  -38.563719  7.710406
   10         4333        4661  -38.470484  7.681039
   11         2134        2379  -14.250726  7.471602
   11         2380        2544  -14.449437  7.468652
   11         2545        2870  -14.552442  7.474916
   11         4007        4195  -14.487478  7.481024
   11         4196        4332  -14.416030  7.489139
   11         4333        4502  -14.322238  7.479097
   11         4503        4661  -14.412471  7.483401
   12         2134        2288  -41.599400  7.611702
   12         2289        2565  -41.436961  7.570043
   12         2566        2870  -41.771781  7.609750
   12         4007        4332  -41.889758  7.614449
   12         4333        4661  -41.726477  7.591559
   13         2134        2260   42.848259  7.678352
   13         2261        2484   42.629162  7.662025
   13         2485        2627   42.297390  7.667834
   13         2628        2870   42.457239  7.676844
   13         4007        4076   42.483563  7.678442
   13         4077        4116   42.586559  7.677452
   13         4117        4200   42.521275  7.666346
   13         4201        4332   42.680130  7.683238
   13         4333        4661   42.706526  7.671152
   14         2134        2297   42.137990  7.360666
   14         2298        2544   42.031913  7.355845
   14         2545        2870   42.065512  7.355204
   14         4007        4064   41.856422  7.354776
   14         4065        4234   42.003418  7.359536
   14         4235        4322   41.954792  7.361399
   14         4323        4661   41.989807  7.373229
   15         2134        2246  -41.202938  7.224814
   15         2247        2288  -41.008970  7.222302
   15         2289        2564  -41.338175  7.234676
   15         2565        2586  -40.934850  7.213849
   15         2587        2870  -41.041690  7.217501
   15         4007        4195  -41.081822  7.215576
   15         4196        4332  -40.879174  7.224613
   15         4333        4661  -41.275407  7.250266
   16         2134        2258    3.467661  7.608805
   16         2259        2487    3.094321  7.579425
   16         2488        2571    2.491555  7.573647
   16         2572        2606    2.813255  7.571815
   16         2607        2631    2.997084  7.573083
   16         2632        2709    3.263172  7.599331
   16         2710        2870    3.034975  7.578425
   16         4007        4074    3.018342  7.572199
   16         4075        4332    3.216477  7.595175
   16         4333        4500    2.959459  7.578688
   16         4501        4661    3.052984  7.590238
   17         2134        2288  -11.481450  7.565340
   17         2289        2564  -11.804113  7.568535
   17         2565        2709  -11.423061  7.559405
   17         2710        2870  -11.345897  7.563336
   17         4007        4075  -11.271660  7.554002
   17         4076        4125  -11.118173  7.553751
   17         4126        4332  -11.359422  7.557915
   17         4333        4661  -11.746211  7.582471
   18         2134        2288  -25.874185  7.519398
   18         2289        2564  -26.210742  7.517502
   18         2565        2870  -25.871056  7.521929
   18         4007        4332  -25.939571  7.518872
   18         4333        4661  -26.319473  7.530672
   19         2134        2288   11.376616  7.235933
   19         2289        2564   11.665430  7.248618
   19         2565        2652   11.527503  7.233931
   19         2653        2870   11.600332  7.240047
   19         4007        4073   11.553323  7.232452
   19         4074        4128   11.632638  7.230585
   19         4129        4332   11.323641  7.235618
   19         4333        4661   11.392085  7.253742
   20         2134        2288  -20.971523  7.422746
   20         2289        2544  -20.784508  7.395477
   20         2545        2870  -21.026022  7.433440
   20         4007        4118  -21.040780  7.446025
   20         4119        4333  -21.239532  7.452827
   20         4334        4511  -20.977446  7.422388
   20         4512        4661  -21.105857  7.437413
   21         2134        2288   -5.877170  7.524172
   21         2289        2543   -5.611534  7.490215
   21         2544        2870   -5.743970  7.529586
   21         4007        4195   -5.734789  7.536747
   21         4196        4332   -5.908854  7.547934
   21         4333        4661   -5.846804  7.521071
   22         2134        2278    1.834371  7.491596
   22         2279        2564    1.763507  7.446708
   22         2565        2655    1.769775  7.498102
   22         2656        2870    1.913578  7.502625
   22         4007        4195    1.912318  7.494257
   22         4196        4282    1.853227  7.495173
   22         4283        4333    1.898824  7.494457
   22         4334        4661    1.873615  7.449315
   23         2134        2305   -1.231442  7.479374
   23         2306        2565   -1.172699  7.452787
   23         2566        2710   -1.152817  7.477874
   23         2711        2870   -1.089545  7.476707
   23         4007        4071   -1.193157  7.480362
   23         4072        4195   -1.030666  7.478078
   23         4196        4332   -1.279528  7.485654
   23         4333        4661   -1.349289  7.467234
   24         2134        2258    7.247841  7.717911
   24         2259        2279    7.035097  7.730809
   24         2280        2576    7.172268  7.677402
   24         2577        2639    7.312516  7.713761
   24         2640        2829    7.455021  7.716931
   24         2830        2870    7.218156  7.711524
   24         4007        4055    7.099574  7.723548
   24         4056        4195    6.743529  7.720369
   24         4196        4263    6.543884  7.726707
   24         4264        4332    6.626375  7.730423
   24         4333        4661    7.045678  7.689567
