# NWB time-of-flight calibration parameters
# calibrated_tof = 0.5 * (time_L + time_R) - FA_time_mean - tof_offset
# Unit:
# - tof_offset: ns
  bar    run_start    run_stop    tof_offset
    1         2000        2258    -5.53205
    1         2259        2564    -0.634231
    1         2565        3499    -0.393729
    1         3500        4332    -0.427712
    1         4333        4999    -0.744966
    2         2000        2258    -5.91285
    2         2259        2564    -1.12017
    2         2565        3499    -0.915764
    2         3500        4332    -0.915599
    2         4333        4999    -1.25751
    3         2000        2258    -5.94917
    3         2259        2356    -1.03722
    3         2357        2361    -0.223931
    3         2362        2484    -1.05298
    3         2485        2564    -0.237535
    3         2565        3499     0.0125656
    3         3500        4195     0.0393513
    3         4196        4332    -0.969775
    3         4333        4999    -1.21815
    4         2000        2258    -5.54146
    4         2259        2564    -0.683531
    4         2565        3499    -0.455424
    4         3500        4332    -0.503092
    4         4333        4999    -0.804117
    5         2000        2258    -5.86271
    5         2259        2564    -1.06281
    5         2565        3499    -0.83591
    5         3500        4332    -0.894017
    5         4333        4520    -1.19121
    5         4521        4522   -11.9407
    5         4523        4999    -1.19628
    6         2000        2258    -7.00443
    6         2259        2564    -2.01084
    6         2565        3499    -1.7787
    6         3500        4332    -1.83691
    6         4333        4999    -2.13569
    7         2000        2258    -6.24385
    7         2259        2564    -1.41213
    7         2565        3499    -1.18973
    7         3500        4332    -1.22255
    7         4333        4999    -1.53468
    8         2000        2258    -8.00725
    8         2259        2564    -3.27519
    8         2565        3499    -3.03384
    8         3500        4332    -3.10484
    8         4333        4999    -3.40462
    9         2000        2258    -5.49217
    9         2259        2564    -0.702513
    9         2565        3499    -0.451852
    9         3500        4332    -0.4864
    9         4333        4999    -0.801511
   10         2000        2258    -7.10451
   10         2259        2564    -2.20407
   10         2565        3499    -1.95881
   10         3500        4332    -2.00332
   10         4333        4999    -2.31533
   11         2000        2258    -7.04576
   11         2259        2564    -2.20075
   11         2565        3499    -1.94368
   11         3500        4332    -2.01497
   11         4333        4999    -2.32053
   12         2000        2258    -5.05661
   12         2259        2564    -0.0225444
   12         2565        3499     0.205696
   12         3500        4332     0.148437
   12         4333        4999    -0.155135
   13         2000        2258     0.234592
   13         2259        2564     5.04128
   13         2565        3499     5.25787
   13         3500        4332     5.20595
   13         4333        4999     4.9237
   14         2000        2258    -1.47058
   14         2259        2564     3.66056
   14         2565        3499     3.88591
   14         3500        4332     3.85059
   14         4333        4999     3.55536
   15         2000        2258    -3.39328
   15         2259        2564     1.40053
   15         2565        3499     1.63156
   15         3500        4332     1.56925
   15         4333        4999     1.23788
   16         2000        2258    -4.83096
   16         2259        2564     0.192362
   16         2565        3499     0.406652
   16         3500        4332     0.379254
   16         4333        4999     0.0408659
   17         2000        2258    -4.70637
   17         2259        2564     0.0902035
   17         2565        2654     0.297352
   17         2655        2709    -1.85376
   17         2710        3499     0.290697
   17         3500        4332     0.273856
   17         4333        4623    -0.045932
   17         4624        4625    -0.0316545
   17         4626        4999    -0.0342567
   18         2000        2258    -4.17899
   18         2259        2564     0.604765
   18         2565        2844     0.812017
   18         2845        2848    -3.49898
   18         2849        3499     0.755457
   18         3500        4332     0.784286
   18         4333        4512     0.454363
   18         4513        4514     0.493436
   18         4515        4999     0.459624
   19         2000        2258    -3.13846
   19         2259        2564     1.6571
   19         2565        2835     1.87941
   19         2836        2837     1.81497
   19         2838        3499     1.81322
   19         3500        4332     1.84101
   19         4333        4999     1.51089
   20         2000        2258    -4.12198
   20         2259        2564     0.661317
   20         2565        3499     0.859369
   20         3500        4332     0.842686
   20         4333        4999     0.522711
   21         2000        2258    -4.46116
   21         2259        2564     0.30535
   21         2565        3499     0.529751
   21         3500        4332     0.503209
   21         4333        4449     0.205291
   21         4450        4451     0.175377
   21         4452        4999     0.182141
   22         2000        2258    -2.66449
   22         2259        2564     2.15632
   22         2565        3499     2.39224
   22         3500        4332     2.37991
   22         4333        4999     2.05596
   23         2000        2258    -4.1237
   23         2259        2564     0.719429
   23         2565        3499     0.916681
   23         3500        4332     0.904431
   23         4333        4999     0.579991
   24         2000        2258     7.19867
   24         2259        2288    12.2381
   24         2289        2564    11.9449
   24         2565        2830    12.2706
   24         2831        3499    12.125
   24         3500        4332    12.0503
   24         4333        4999    11.7498
