# Provided by Sean Sweany on 20210318 from Ca48+Ni64 at 140 MeV/u
# Each column after CI-n_err shows the yields weighted by the neutron number (N),
# for example, t has two neutrons, so the number has already included the weight of two,
# i.e. we get a simple sum of CI-n = pseudo-n + d + t + He3 + He4 from the columns.
# pt/A unit: MeV/c
# Yield unit: $dM / (2 \pi p_t^2 dp_t dy)$, with $y$ being the normalized rapidity in the lab frames, hence having typical values of $0 < y < 1$.
ptA  CI-n       CI-n_err    pseudo-n    pseudo-n_err   d           d_err       t           t_err       He3         He3_err     He4         He4_err
110  2.14E-010   7.74E-011   1.80E-011   7.50E-011      2.53E-011   4.88E-012   6.87E-011   1.32E-011   1.09E-011   1.23E-012   9.07E-011   1.27E-011
130  7.32E-008   5.41E-010   2.44E-008   4.82E-010      9.38E-009   1.09E-010   1.59E-008   1.86E-010   3.02E-009   3.20E-011   2.05E-008   1.15E-010
150  1.39E-007   6.26E-010   4.93E-008   5.62E-010      1.97E-008   1.32E-010   3.09E-008   2.10E-010   6.15E-009   3.49E-011   3.29E-008   1.12E-010
170  1.55E-007   5.83E-010   5.88E-008   5.26E-010      2.41E-008   1.30E-010   3.40E-008   1.88E-010   7.23E-009   3.38E-011   3.06E-008   9.72E-011
190  1.37E-007   5.29E-010   5.61E-008   4.85E-010      2.35E-008   1.16E-010   2.91E-008   1.54E-010   6.53E-009   3.14E-011   2.18E-008   8.08E-011
210  9.78E-008   4.59E-010   4.34E-008   4.28E-010      1.80E-008   9.47E-011   1.96E-008   1.17E-010   4.54E-009   2.75E-011   1.23E-008   6.39E-011
230  6.96E-008   4.05E-010   3.36E-008   3.85E-010      1.35E-008   7.59E-011   1.26E-008   8.74E-011   3.04E-009   2.26E-011   6.86E-009   4.76E-011
250  4.88E-008   3.46E-010   2.57E-008   3.34E-010      9.88E-009   5.87E-011   7.66E-009   6.17E-011   1.96E-009   1.71E-011   3.59E-009   3.25E-011
270  3.44E-008   3.03E-010   1.97E-008   2.96E-010      7.04E-009   4.42E-011   4.56E-009   4.33E-011   1.24E-009   1.27E-011   1.81E-009   2.14E-011
290  2.42E-008   2.61E-010   1.50E-008   2.57E-010      4.88E-009   3.19E-011   2.62E-009   2.90E-011   7.54E-010   8.86E-012   8.97E-010   1.39E-011
310  1.64E-008   1.65E-010   1.08E-008   1.61E-010      3.27E-009   2.21E-011   1.39E-009   2.88E-011   4.45E-010   5.93E-012   4.31E-010   8.22E-012
330  1.10E-008   1.16E-010   7.76E-009   1.14E-010      2.12E-009   1.44E-011   6.81E-010   1.45E-011   2.42E-010   3.56E-012   1.80E-010   4.45E-012
350  7.54E-009   8.43E-011   5.61E-009   8.33E-011      1.36E-009   9.63E-012   3.53E-010   7.91E-012   1.37E-010   2.19E-012   7.69E-011   2.34E-012
370  5.15E-009   6.38E-011   4.03E-009   6.32E-011      8.54E-010   7.18E-012   1.66E-010   4.64E-012   6.98E-011   1.57E-012   2.95E-011   1.45E-012
390  3.24E-009   4.61E-011   2.65E-009   4.57E-011      4.80E-010   5.29E-012   6.56E-011   2.55E-012   3.24E-011   1.12E-012   1.12E-011   9.34E-013
