# Provided by Sean Sweany on 20210318 from Ca48+Ni64 at 140 MeV/u
# Each column after CI-p_err shows the yields weighted by the proton number (Z),
# for example, He3 has two protons, so the number has already included the weight of two,
# i.e. we get a simple sum of CI-p = p + d + t + He3 + He4 from the columns.
# pt/A unit: MeV/c
# Yield unit: $dN / (2 \pi p_t^2 dp_t dy)$, with $y$ being the normalized rapidity in the lab frames, hence having typical values of $0 < y < 1$.
ptA  CI-p       CI-p_err    p           p_err       d           d_err       t           t_err       He3         He3_err     He4         He4_err
110  1.78E-010  1.66E-011   5.68E-012   6.42E-012   2.53E-011   4.88E-012   3.44E-011   6.59E-012   2.17E-011   2.47E-012   9.07E-011   1.27E-011
130  5.31E-008  2.22E-010   9.22E-009   1.07E-010   9.38E-009   1.09E-010   7.95E-009   9.32E-011   6.04E-009   6.40E-011   2.05E-008   1.15E-010
150  1.00E-007  2.52E-010   1.96E-008   1.33E-010   1.97E-008   1.32E-010   1.55E-008   1.05E-010   1.23E-008   6.98E-011   3.29E-008   1.12E-010
170  1.11E-007  2.40E-010   2.50E-008   1.33E-010   2.41E-008   1.30E-010   1.70E-008   9.41E-011   1.45E-008   6.75E-011   3.06E-008   9.72E-011
190  9.81E-008  2.13E-010   2.51E-008   1.24E-010   2.35E-008   1.16E-010   1.46E-008   7.71E-011   1.31E-008   6.28E-011   2.18E-008   8.08E-011
210  6.93E-008  1.74E-010   2.01E-008   1.04E-010   1.80E-008   9.47E-011   9.79E-009   5.85E-011   9.07E-009   5.51E-011   1.23E-008   6.39E-011
230  4.90E-008  1.41E-010   1.63E-008   8.81E-011   1.35E-008   7.59E-011   6.29E-009   4.37E-011   6.08E-009   4.53E-011   6.86E-009   4.76E-011
250  3.44E-008  1.10E-010   1.32E-008   7.34E-011   9.88E-009   5.87E-011   3.83E-009   3.09E-011   3.93E-009   3.41E-011   3.59E-009   3.25E-011
270  2.43E-008  8.49E-011   1.07E-008   6.07E-011   7.04E-009   4.42E-011   2.28E-009   2.16E-011   2.48E-009   2.53E-011   1.81E-009   2.14E-011
290  1.73E-008  6.42E-011   8.66E-009   4.88E-011   4.88E-009   3.19E-011   1.31E-009   1.45E-011   1.51E-009   1.77E-011   8.97E-010   1.39E-011
310  1.22E-008  4.89E-011   6.92E-009   3.86E-011   3.27E-009   2.21E-011   6.96E-010   1.44E-011   8.91E-010   1.19E-011   4.31E-010   8.22E-012
330  8.65E-009  3.46E-011   5.52E-009   2.94E-011   2.12E-009   1.44E-011   3.40E-010   7.27E-012   4.85E-010   7.11E-012   1.80E-010   4.45E-012
350  6.25E-009  2.52E-011   4.36E-009   2.24E-011   1.36E-009   9.63E-012   1.77E-010   3.95E-012   2.74E-010   4.39E-012   7.69E-011   2.34E-012
370  4.51E-009  1.99E-011   3.40E-009   1.81E-011   8.54E-010   7.18E-012   8.29E-011   2.32E-012   1.40E-010   3.14E-012   2.95E-011   1.45E-012
390  3.21E-009  1.60E-011   2.62E-009   1.49E-011   4.80E-010   5.29E-012   3.28E-011   1.28E-012   6.49E-011   2.23E-012   1.12E-011   9.34E-013
