run,begin_time,end_time,elapse,target,beam,shadow_bar,trigger_rate,comment
4661,2018-03-25 05:30:33,2018-03-25 05:46:02,0 days 00:15:29,Ni64,Ca48 56 MeV/u,out,2855.0,"48Ca, 64Ni , 56MeV, coinc trig, MB singles 301 DS"
4660,2018-03-25 05:00:05,2018-03-25 05:30:17,0 days 00:30:12,Ni64,Ca48 56 MeV/u,out,2792.0,"48Ca, 64Ni , 56MeV, coinc trig, MB singles 301 DS"
4659,2018-03-25 04:25:17,2018-03-25 04:59:58,0 days 00:34:41,Ni64,Ca48 56 MeV/u,out,2666.0,"48Ca, 64Ni , 56MeV, coinc trig, MB singles 301 DS"
4658,2018-03-25 03:44:26,2018-03-25 04:25:06,0 days 00:40:40,Ni64,Ca48 56 MeV/u,out,2700.0,"48Ca, 64Ni , 56MeV, coinc trig, MB singles 301 DS"
4657,2018-03-25 03:13:13,2018-03-25 03:44:09,0 days 00:30:56,Ni64,Ca48 56 MeV/u,out,2663.0,"48Ca, 64Ni , 56MeV, coinc trig, MB singles 301 DS"
4656,2018-03-25 02:41:41,2018-03-25 03:13:03,0 days 00:31:22,Ni64,Ca48 56 MeV/u,out,2657.0,"48Ca, 64Ni , 56MeV, coinc trig, MB singles 301 DS"
4655,2018-03-25 02:09:42,2018-03-25 02:41:29,0 days 00:31:47,Ni64,Ca48 56 MeV/u,out,2686.0,"48Ca, 64Ni , 56MeV, coinc trig, MB singles 301 DS"
4654,2018-03-25 01:39:16,2018-03-25 02:09:31,0 days 00:30:15,Ni64,Ca48 56 MeV/u,out,2667.0,"48Ca, 64Ni , 56MeV, coinc trig, MB singles 301 DS"
4653,2018-03-25 01:03:12,2018-03-25 01:38:52,0 days 00:35:40,Ni64,Ca48 56 MeV/u,out,2675.0,"48Ca, 64Ni , 56MeV, coinc trig, MB singles 301 DS"
4652,2018-03-25 00:25:59,2018-03-25 01:02:42,0 days 00:36:43,Ni64,Ca48 56 MeV/u,out,2757.0,"48Ca, 64Ni , 56MeV, coinc trig, MB singles 301 DS"
4651,2018-03-24 23:52:33,2018-03-25 00:25:44,0 days 00:33:11,Ni64,Ca48 56 MeV/u,out,2727.0,"48Ca, 64Ni , 56MeV, coinc trig, MB singles 301 DS"
4650,2018-03-24 23:22:36,2018-03-24 23:52:15,0 days 00:29:39,Ni64,Ca48 56 MeV/u,out,2749.0,"48Ca, 64Ni , 56MeV, coinc trig, MB singles 301 DS"
4649,2018-03-24 22:51:47,2018-03-24 23:22:15,0 days 00:30:28,Ni64,Ca48 56 MeV/u,out,2691.0,"48Ca, 64Ni , 56MeV, coinc trig, MB singles 301 DS"
4648,2018-03-24 22:21:17,2018-03-24 22:51:27,0 days 00:30:10,Ni64,Ca48 56 MeV/u,out,2782.0,"48Ca, 64Ni , 56MeV, coinc trig, MB singles 301 DS"
4647,2018-03-24 21:49:16,2018-03-24 22:21:00,0 days 00:31:44,Ni64,Ca48 56 MeV/u,out,2750.0,"48Ca, 64Ni , 56MeV, coinc trig, MB singles 301 DS"
4646,2018-03-24 21:18:37,2018-03-24 21:48:57,0 days 00:30:20,Ni64,Ca48 56 MeV/u,out,2791.0,"48Ca, 64Ni , 56MeV, coinc trig, MB singles 301 DS"
4645,2018-03-24 20:48:12,2018-03-24 21:18:26,0 days 00:30:14,Ni64,Ca48 56 MeV/u,out,2736.0,"48Ca, 64Ni , 56MeV, coinc trig, MB singles 301 DS"
4644,2018-03-24 20:17:44,2018-03-24 20:47:59,0 days 00:30:15,Ni64,Ca48 56 MeV/u,out,2601.0,"48Ca, 64Ni , 56MeV, coinc trig, MB singles 301 DS"
4643,2018-03-24 19:48:18,2018-03-24 20:17:33,0 days 00:29:15,Ni64,Ca48 56 MeV/u,out,2722.0,"48Ca, 64Ni , 56MeV, coinc trig, MB singles 301 DS"
4642,2018-03-24 19:17:48,2018-03-24 19:48:01,0 days 00:30:13,Ni64,Ca48 56 MeV/u,out,2759.0,"48Ca, 64Ni , 56MeV, coinc trig, MB singles 301 DS"
4640,2018-03-24 18:10:53,2018-03-24 18:50:41,0 days 00:39:48,Sn124,Ca48 56 MeV/u,out,2729.0,"48Ca, 124Sn , 56MeV, coinc trig, MB singles 301 DS"
4639,2018-03-24 17:39:45,2018-03-24 18:10:38,0 days 00:30:53,Sn124,Ca48 56 MeV/u,out,2700.0,"48Ca, 124Sn , 56MeV, coinc trig, MB singles 301 DS"
4638,2018-03-24 17:11:09,2018-03-24 17:39:34,0 days 00:28:25,Sn124,Ca48 56 MeV/u,out,2700.0,"48Ca, 124Sn , 56MeV, coinc trig, MB singles 301 DS"
4637,2018-03-24 16:40:41,2018-03-24 17:10:55,0 days 00:30:14,Sn124,Ca48 56 MeV/u,out,2700.0,"48Ca, 124Sn , 56MeV, coinc trig, MB singles 301 DS"
4636,2018-03-24 16:10:19,2018-03-24 16:40:03,0 days 00:29:44,Sn124,Ca48 56 MeV/u,out,2700.0,"48Ca, 124Sn , 56MeV, coinc trig, MB singles 301 DS"
4635,2018-03-24 15:36:10,2018-03-24 16:10:04,0 days 00:33:54,Sn124,Ca48 56 MeV/u,out,2700.0,"48Ca, 124Sn , 56MeV, coinc trig, MB singles 301 DS"
4634,2018-03-24 15:06:56,2018-03-24 15:35:54,0 days 00:28:58,Sn124,Ca48 56 MeV/u,out,2700.0,"48Ca, 124Sn , 56MeV, coinc trig, MB singles 301 DS"
4633,2018-03-24 14:39:12,2018-03-24 15:06:48,0 days 00:27:36,Sn124,Ca48 56 MeV/u,out,2700.0,"48Ca, 124Sn , 56MeV, coinc trig, MB singles 301 DS"
4632,2018-03-24 13:58:19,2018-03-24 14:38:57,0 days 00:40:38,Sn124,Ca48 56 MeV/u,out,2800.0,"48Ca, 124Sn , 56MeV, coinc trig, MB singles 301 DS"
4631,2018-03-24 13:26:43,2018-03-24 13:57:39,0 days 00:30:56,Sn124,Ca48 56 MeV/u,out,2700.0,"48Ca, 124Sn , 56MeV, coinc trig, MB singles 301 DS"
4630,2018-03-24 12:53:49,2018-03-24 13:26:19,0 days 00:32:30,Sn124,Ca48 56 MeV/u,out,2800.0,"48Ca, 124Sn , 56MeV, coinc trig, MB singles 301 DS"
4629,2018-03-24 12:23:36,2018-03-24 12:53:36,0 days 00:30:00,Sn124,Ca48 56 MeV/u,out,2900.0,"48Ca, 124Sn , 56MeV, coinc trig, MB singles 301 DS"
4628,2018-03-24 11:53:27,2018-03-24 12:23:16,0 days 00:29:49,Sn124,Ca48 56 MeV/u,out,2800.0,"48Ca, 124Sn , 56MeV, coinc trig, MB singles 301 DS"
