ibatch,run_min,run_max,n_runs,n_skipped_runs,begin_time,end_time,total_elapse,total_gap_time,target,beam,beam_energy,shadow_bar,trigger_rate_min,trigger_rate_max,trigger_rate_mean
0,2077,2078,2,0,2018-02-11 06:03:27,2018-02-11 07:13:10,0 days 00:46:21,0 days 00:23:22,Sn124,Ca40,140.0,in,1010.0,2306.0,1658.0
1,2134,2135,2,0,2018-02-12 17:20:40,2018-02-12 18:55:56,0 days 00:29:18,0 days 01:05:58,Ni58,Ca40,140.0,out,2055.0,2057.0,2056.0
2,2142,2152,9,2,2018-02-12 22:06:15,2018-02-13 03:25:30,0 days 04:39:29,0 days 00:39:46,Ni58,Ca40,140.0,out,1861.0,2044.0,1977.2222222222222
3,2155,2200,19,27,2018-02-13 05:44:21,2018-02-13 18:36:39,0 days 09:16:09,0 days 03:36:09,Ni58,Ca40,140.0,out,1570.0,2164.0,1943.842105263158
4,2204,2221,16,2,2018-02-13 20:14:01,2018-02-14 06:09:09,0 days 08:25:27,0 days 01:29:41,Sn112,Ca40,140.0,out,1967.0,2270.0,2163.375
5,2222,2233,11,1,2018-02-14 06:09:13,2018-02-14 12:19:37,0 days 05:51:34,0 days 00:18:50,Sn112,Ca40,140.0,in,1657.0,2163.0,1981.6363636363637
6,2237,2255,19,0,2018-02-14 19:29:49,2018-02-15 06:38:14,0 days 09:48:45,0 days 01:19:40,Sn112,Ca40,140.0,in,1075.0,2208.0,1767.7894736842106
7,2259,2264,5,1,2018-02-15 19:01:33,2018-02-15 23:31:42,0 days 02:51:45,0 days 01:38:24,Sn112,Ca40,140.0,in,1311.0,1663.0,1504.2
8,2265,2265,1,0,2018-02-15 23:45:35,2018-02-15 23:59:58,0 days 00:14:23,0 days 00:00:00,Ni64,Ca40,140.0,in,1559.0,1559.0,1559.0
9,2266,2270,5,0,2018-02-16 00:12:15,2018-02-16 03:18:25,0 days 02:20:16,0 days 00:45:54,Ni58,Ca40,140.0,in,1138.0,1218.0,1195.2
10,2272,2280,9,0,2018-02-16 03:50:10,2018-02-16 07:54:58,0 days 03:57:41,0 days 00:07:07,Ni58,Ca40,140.0,out,1107.0,1258.0,1182.4444444444443
11,2289,2311,22,1,2018-02-16 21:16:28,2018-02-17 10:10:06,0 days 10:48:08,0 days 02:05:30,Sn112,Ca40,56.0,out,1670.0,3092.0,2291.5
12,2316,2331,16,0,2018-02-17 14:17:47,2018-02-17 22:58:36,0 days 08:28:38,0 days 00:12:11,Sn112,Ca40,56.0,in,1582.0,2586.0,2303.0625
13,2333,2354,22,0,2018-02-17 23:50:09,2018-02-18 11:40:32,0 days 11:39:07,0 days 00:11:16,Ni58,Ca40,56.0,in,2503.0,2732.0,2621.8636363636365
14,2357,2376,20,0,2018-02-18 12:34:20,2018-02-18 23:05:48,0 days 09:51:48,0 days 00:39:40,Sn112,Ca40,56.0,in,2382.0,2814.0,2525.45
15,2378,2394,17,0,2018-02-18 23:27:59,2018-02-19 08:27:15,0 days 08:56:09,0 days 00:03:07,Ni58,Ca40,56.0,in,2670.0,2858.0,2802.1176470588234
16,2485,2489,5,0,2018-02-19 19:36:20,2018-02-19 22:55:42,0 days 03:08:00,0 days 00:11:22,Ni58,Ca40,56.0,out,2307.0,2638.0,2516.6
17,2491,2494,4,0,2018-02-20 04:26:35,2018-02-20 06:27:58,0 days 02:00:43,0 days 00:00:40,Ni58,Ca40,56.0,out,2699.0,3096.0,2903.5
18,2495,2495,1,0,2018-02-20 06:28:10,2018-02-20 06:58:20,0 days 00:30:10,0 days 00:00:00,Ni58,Ca40,56.0,in,2472.0,2472.0,2472.0
19,2497,2510,11,3,2018-02-20 07:52:46,2018-02-20 14:21:24,0 days 05:22:24,0 days 01:06:14,Ni58,Ca40,56.0,out,1923.0,2977.0,2353.6363636363635
20,2512,2523,11,1,2018-02-20 14:38:22,2018-02-20 22:20:20,0 days 07:06:17,0 days 00:35:41,Ni64,Ca40,56.0,in,2676.0,2806.0,2755.6363636363635
21,2529,2545,16,1,2018-02-20 23:05:34,2018-02-21 07:51:13,0 days 08:37:28,0 days 00:08:11,Sn124,Ca40,56.0,in,2754.0,2916.0,2843.25
22,2565,2611,43,4,2018-02-21 11:30:55,2018-02-22 11:40:18,0 days 22:11:12,0 days 01:58:11,Ni58,Ca40,140.0,in,2123.0,3123.0,2947.6279069767443
23,2614,2630,17,0,2018-02-22 12:06:56,2018-02-22 21:09:23,0 days 08:07:52,0 days 00:54:35,Sn112,Ca40,140.0,in,2986.0,3171.0,3060.470588235294
24,2632,2656,25,0,2018-02-22 21:24:35,2018-02-23 10:00:43,0 days 12:26:46,0 days 00:09:22,Ni58,Ca40,140.0,out,1911.0,3920.0,3596.76
25,2710,2721,12,0,2018-02-23 17:21:30,2018-02-24 01:36:26,0 days 07:56:28,0 days 00:18:28,Sn124,Ca40,140.0,out,1546.0,3272.0,2811.1666666666665
26,2723,2744,21,1,2018-02-24 02:21:57,2018-02-24 14:18:36,0 days 11:13:40,0 days 00:42:59,Ni64,Ca40,140.0,in,1181.0,3188.0,2886.9523809523807
27,2830,2846,18,-1,2018-02-25 01:22:55,2018-02-25 11:00:21,0 days 09:46:10,-1 days +23:51:16,Sn112,Ca40,140.0,in,2313.0,2503.0,2403.3888888888887
28,2848,2870,20,3,2018-02-25 11:17:23,2018-02-25 22:59:25,0 days 10:13:24,0 days 01:28:38,Ni58,Ca40,140.0,in,2351.0,3256.0,2880.4
29,4007,4007,1,0,2018-03-08 16:46:53,2018-03-08 17:17:24,0 days 00:30:31,0 days 00:00:00,Sn124,Ca48,140.0,in,2569.0,2569.0,2569.0
30,4023,4032,10,0,2018-03-09 02:40:12,2018-03-09 07:47:45,0 days 05:03:24,0 days 00:04:09,Ni64,Ca48,140.0,in,1840.0,2105.0,2046.1
31,4042,4058,16,1,2018-03-09 18:15:26,2018-03-10 03:17:07,0 days 07:47:11,0 days 01:14:30,Sn124,Ca48,140.0,in,2148.0,2990.0,2414.375
32,4060,4078,18,1,2018-03-10 06:45:52,2018-03-10 15:46:53,0 days 07:56:01,0 days 01:05:00,Sn124,Ca48,140.0,in,1432.0,2443.0,2105.9444444444443
33,4082,4123,42,0,2018-03-10 16:55:15,2018-03-11 16:00:05,0 days 21:51:49,0 days 01:13:01,Ni64,Ca48,140.0,in,1682.0,2688.0,2326.6190476190477
34,4125,4132,8,0,2018-03-11 17:06:25,2018-03-11 20:51:39,0 days 03:21:40,0 days 00:23:34,Sn112,Ca48,140.0,in,1948.0,2310.0,2126.25
35,4136,4140,5,0,2018-03-12 01:12:09,2018-03-12 04:10:13,0 days 02:55:31,0 days 00:02:33,Ni58,Ca48,140.0,in,1574.0,2408.0,2182.8
36,4142,4150,9,0,2018-03-12 04:23:41,2018-03-12 09:26:45,0 days 05:00:50,0 days 00:02:14,Sn124,Ca48,140.0,in,2250.0,2433.0,2335.3333333333335
37,4190,4192,3,0,2018-03-12 22:32:48,2018-03-13 00:35:20,0 days 02:02:08,0 days 00:00:24,Sn124,Ca48,140.0,in,1776.0,2870.0,2211.0
38,4194,4195,2,0,2018-03-13 06:21:46,2018-03-13 07:32:44,0 days 01:10:46,0 days 00:00:12,Sn124,Ca48,140.0,in,2137.0,2240.0,2188.5
39,4196,4201,6,0,2018-03-13 10:21:13,2018-03-13 13:57:24,0 days 03:14:24,0 days 00:21:47,Sn124,Ca48,140.0,in,1809.0,1932.0,1856.8333333333333
40,4203,4208,6,0,2018-03-13 14:18:07,2018-03-13 18:06:26,0 days 03:43:59,0 days 00:04:20,Sn112,Ca48,140.0,in,2580.0,2816.0,2708.1666666666665
41,4212,4219,8,0,2018-03-13 19:00:11,2018-03-13 23:07:48,0 days 03:55:39,0 days 00:11:58,Ni58,Ca48,140.0,in,2159.0,2644.0,2426.125
