# measurement unit: cm
# vector:
#   - L is VW bar center in lab frame
#   - X, Y, Z are VW bar's principal components in lab frame w.r.t. to L,
#     with the lengths (magnitudes) equal to the bar's respective dimensions.
  vw-bar  vector        lab-x      lab-y      lab-z
       1  L         330.19955    0.00000  240.06740
       1  X          -7.26530   -0.00000    5.96140
       1  Y          -0.00000  227.23620    0.00000
       1  Z          -0.63478   -0.00000   -0.77362
       2  L         322.40455    0.00000  244.91025
       2  X          -7.26530   -0.00000    5.96140
       2  Y           0.00000  227.23620   -0.00000
       2  Z          -0.63483    0.00000   -0.77368
       3  L         316.12978    0.00000  251.61215
       3  X          -7.26528    0.00000    5.96142
       3  Y          -0.00000  227.23620   -0.00000
       3  Z          -0.63487   -0.00000   -0.77373
       4  L         308.33475    0.00000  256.45495
       4  X          -7.26530   -0.00000    5.96140
       4  Y          -0.00000  227.23620    0.00000
       4  Z          -0.63483   -0.00000   -0.77368
       5  L         302.05997    0.00000  263.15685
       5  X          -7.26528   -0.00000    5.96142
       5  Y           0.00000  227.23620   -0.00000
       5  Z          -0.63487    0.00000   -0.77373
       6  L         294.26495    0.00000  267.99970
       6  X          -7.26530   -0.00000    5.96140
       6  Y          -0.00000  227.23620    0.00000
       6  Z          -0.63478   -0.00000   -0.77362
       7  L         287.99017    0.00000  274.70160
       7  X          -7.26528   -0.00000    5.96142
       7  Y           0.00000  227.23620   -0.00000
       7  Z          -0.63482    0.00000   -0.77367
       8  L         280.19515    0.00000  279.54445
       8  X          -7.26530   -0.00000    5.96140
       8  Y          -0.00000  227.23620    0.00000
       8  Z          -0.63483   -0.00000   -0.77368
       9  L         273.92040    0.00000  286.24635
       9  X          -7.26520   -0.00000    5.96140
       9  Y           0.00000  227.23620   -0.00000
       9  Z          -0.63483    0.00000   -0.77367
      10  L         266.12535    0.00000  291.08915
      10  X          -7.26530    0.00000    5.96140
      10  Y          -0.00000  227.23620   -0.00000
      10  Z          -0.63483   -0.00000   -0.77368
      11  L         259.85060    0.00000  297.79105
      11  X          -7.26520   -0.00000    5.96140
      11  Y           0.00000  227.23620   -0.00000
      11  Z          -0.63483    0.00000   -0.77367
      12  L         252.05555    0.00000  302.63390
      12  X          -7.26530   -0.00000    5.96140
      12  Y           0.00000  227.23620   -0.00000
      12  Z          -0.63478    0.00000   -0.77362
      13  L         245.78080    0.00000  309.33580
      13  X          -7.26520   -0.00000    5.96140
      13  Y           0.00000  227.23620   -0.00000
      13  Z          -0.63478    0.00000   -0.77361
      14  L         237.98575    0.00000  314.17863
      14  X          -7.26532   -0.00000    5.96137
      14  Y          -0.00000  227.23620    0.00000
      14  Z          -0.63477   -0.00000   -0.77362
      15  L         231.71100    0.00000  320.88053
      15  X          -7.26522   -0.00000    5.96137
      15  Y           0.00000  227.23620   -0.00000
      15  Z          -0.63478    0.00000   -0.77362
      16  L         223.91595    0.00000  325.72335
      16  X          -7.26530   -0.00000    5.96140
      16  Y           0.00000  227.23620   -0.00000
      16  Z          -0.63483    0.00000   -0.77368
      17  L         217.64120    0.00000  332.42525
      17  X          -7.26520   -0.00000    5.96140
      17  Y           0.00000  227.23620   -0.00000
      17  Z          -0.63483    0.00000   -0.77367
      18  L         209.84615    0.00000  337.26810
      18  X          -7.26530   -0.00000    5.96140
      18  Y          -0.00000  227.23620    0.00000
      18  Z          -0.63478   -0.00000   -0.77362
      19  L         203.57140    0.00000  343.97000
      19  X          -7.26520   -0.00000    5.96140
      19  Y           0.00000  227.23620   -0.00000
      19  Z          -0.63478    0.00000   -0.77361
      20  L         195.77635    0.00000  348.81280
      20  X          -7.26530   -0.00000    5.96140
      20  Y           0.00000  227.23620   -0.00000
      20  Z          -0.63478    0.00000   -0.77362
      21  L         189.50160    0.00000  355.51470
      21  X          -7.26520   -0.00000    5.96140
      21  Y           0.00000  227.23620    0.00000
      21  Z          -0.63478    0.00000   -0.77361
      22  L         181.70655    0.00000  360.35755
      22  X          -7.26530    0.00000    5.96140
      22  Y          -0.00000  227.23620   -0.00000
      22  Z          -0.63483   -0.00000   -0.77368
      23  L         175.43490    0.00000  367.05690
      23  X          -7.26520   -0.00000    5.96140
      23  Y           0.00000  227.23620   -0.00000
      23  Z          -0.63478    0.00000   -0.77361
