# measurement unit: cm
  vw-bar    dir_x    dir_y    dir_z         x          y         z
       1       -1       -1       -1  334.1496  -113.6181  237.4735
       1       -1       -1        1  333.5148  -113.6181  236.6999
       1       -1        1       -1  334.1496   113.6181  237.4735
       1       -1        1        1  333.5148   113.6181  236.6999
       1        1       -1       -1  326.8843  -113.6181  243.4349
       1        1       -1        1  326.2495  -113.6181  242.6613
       1        1        1       -1  326.8843   113.6181  243.4349
       1        1        1        1  326.2495   113.6181  242.6613
       2       -1       -1       -1  326.3546  -113.6181  242.3164
       2       -1       -1        1  325.7198  -113.6181  241.5427
       2       -1        1       -1  326.3546   113.6181  242.3164
       2       -1        1        1  325.7198   113.6181  241.5427
       2        1       -1       -1  319.0893  -113.6181  248.2778
       2        1       -1        1  318.4545  -113.6181  247.5041
       2        1        1       -1  319.0893   113.6181  248.2778
       2        1        1        1  318.4545   113.6181  247.5041
       3       -1       -1       -1  320.0798  -113.6181  249.0183
       3       -1       -1        1  319.4450  -113.6181  248.2446
       3       -1        1       -1  320.0798   113.6181  249.0183
       3       -1        1        1  319.4450   113.6181  248.2446
       3        1       -1       -1  312.8146  -113.6181  254.9797
       3        1       -1        1  312.1797  -113.6181  254.2060
       3        1        1       -1  312.8146   113.6181  254.9797
       3        1        1        1  312.1797   113.6181  254.2060
       4       -1       -1       -1  312.2848  -113.6181  253.8611
       4       -1       -1        1  311.6500  -113.6181  253.0874
       4       -1        1       -1  312.2848   113.6181  253.8611
       4       -1        1        1  311.6500   113.6181  253.0874
       4        1       -1       -1  305.0195  -113.6181  259.8225
       4        1       -1        1  304.3847  -113.6181  259.0488
       4        1        1       -1  305.0195   113.6181  259.8225
       4        1        1        1  304.3847   113.6181  259.0488
       5       -1       -1       -1  306.0100  -113.6181  260.5630
       5       -1       -1        1  305.3752  -113.6181  259.7893
       5       -1        1       -1  306.0100   113.6181  260.5630
       5       -1        1        1  305.3752   113.6181  259.7893
       5        1       -1       -1  298.7448  -113.6181  266.5244
       5        1       -1        1  298.1099  -113.6181  265.7507
       5        1        1       -1  298.7448   113.6181  266.5244
       5        1        1        1  298.1099   113.6181  265.7507
       6       -1       -1       -1  298.2150  -113.6181  265.4058
       6       -1       -1        1  297.5802  -113.6181  264.6322
       6       -1        1       -1  298.2150   113.6181  265.4058
       6       -1        1        1  297.5802   113.6181  264.6322
       6        1       -1       -1  290.9497  -113.6181  271.3672
       6        1       -1        1  290.3149  -113.6181  270.5936
       6        1        1       -1  290.9497   113.6181  271.3672
       6        1        1        1  290.3149   113.6181  270.5936
       7       -1       -1       -1  291.9402  -113.6181  272.1077
       7       -1       -1        1  291.3054  -113.6181  271.3341
       7       -1        1       -1  291.9402   113.6181  272.1077
       7       -1        1        1  291.3054   113.6181  271.3341
       7        1       -1       -1  284.6750  -113.6181  278.0691
       7        1       -1        1  284.0401  -113.6181  277.2955
       7        1        1       -1  284.6750   113.6181  278.0691
       7        1        1        1  284.0401   113.6181  277.2955
       8       -1       -1       -1  284.1452  -113.6181  276.9506
       8       -1       -1        1  283.5104  -113.6181  276.1769
       8       -1        1       -1  284.1452   113.6181  276.9506
       8       -1        1        1  283.5104   113.6181  276.1769
       8        1       -1       -1  276.8799  -113.6181  282.9120
       8        1       -1        1  276.2451  -113.6181  282.1383
       8        1        1       -1  276.8799   113.6181  282.9120
       8        1        1        1  276.2451   113.6181  282.1383
       9       -1       -1       -1  277.8704  -113.6181  283.6525
       9       -1       -1        1  277.2356  -113.6181  282.8788
       9       -1        1       -1  277.8704   113.6181  283.6525
       9       -1        1        1  277.2356   113.6181  282.8788
       9        1       -1       -1  270.6052  -113.6181  289.6139
       9        1       -1        1  269.9704  -113.6181  288.8402
       9        1        1       -1  270.6052   113.6181  289.6139
       9        1        1        1  269.9704   113.6181  288.8402
      10       -1       -1       -1  270.0754  -113.6181  288.4953
      10       -1       -1        1  269.4406  -113.6181  287.7216
      10       -1        1       -1  270.0754   113.6181  288.4953
      10       -1        1        1  269.4406   113.6181  287.7216
      10        1       -1       -1  262.8101  -113.6181  294.4567
      10        1       -1        1  262.1753  -113.6181  293.6830
      10        1        1       -1  262.8101   113.6181  294.4567
      10        1        1        1  262.1753   113.6181  293.6830
      11       -1       -1       -1  263.8006  -113.6181  295.1972
      11       -1       -1        1  263.1658  -113.6181  294.4235
      11       -1        1       -1  263.8006   113.6181  295.1972
      11       -1        1        1  263.1658   113.6181  294.4235
      11        1       -1       -1  256.5354  -113.6181  301.1586
      11        1       -1        1  255.9006  -113.6181  300.3849
      11        1        1       -1  256.5354   113.6181  301.1586
      11        1        1        1  255.9006   113.6181  300.3849
      12       -1       -1       -1  256.0056  -113.6181  300.0400
      12       -1       -1        1  255.3708  -113.6181  299.2664
      12       -1        1       -1  256.0056   113.6181  300.0400
      12       -1        1        1  255.3708   113.6181  299.2664
      12        1       -1       -1  248.7403  -113.6181  306.0014
      12        1       -1        1  248.1055  -113.6181  305.2278
      12        1        1       -1  248.7403   113.6181  306.0014
      12        1        1        1  248.1055   113.6181  305.2278
      13       -1       -1       -1  249.7308  -113.6181  306.7419
      13       -1       -1        1  249.0960  -113.6181  305.9683
      13       -1        1       -1  249.7308   113.6181  306.7419
      13       -1        1        1  249.0960   113.6181  305.9683
